# ADR90 WP-A2 tau=0 band, build cc4aa6db01c7ae86155b425182021722ab55db50 (expected any), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf,substeps_tot,substeps_max,substeps_max_ele,substeps_ring_tot,substeps_ring_max,wall_step_s
0.0681,0.03405,862.681063,-863.273713,0.15625,1,1411.31652,0,0,0,0,0,0,0,35712,6195,80,12092,5641,14.1705825
0.06825625,0.034128125,861.879286,-860.995187,0.15625,1,1430.08209,0,0,0,0,0,0,0,46695,9796,80,12752,5637,18.7655706
0.0684125,0.03420625,866.886223,-867.426853,0.15625,1,1446.32649,0,0,0,0,0,0,0,36298,6350,80,11940,5547,16.2443993
0.06856875,0.034284375,867.924704,-867.832232,0.15625,1,1463.05701,0,0,0,0,0,0,0,51812,10412,80,14655,6641,16.7305219
0.068725,0.0343625,869.803474,-869.783555,0.3125,1,1479.20772,0,0,0,0,0,0,0,43790,8390,80,13920,6361,16.1507154
0.0690375,0.03451875,873.471979,-873.255084,0.3125,1,1482.83023,0,0,0,0,0,0,0,48346,9946,80,18741,8401,3.62250543
0.06935,0.034675,878.289374,-878.431285,0.3125,1,1510.27466,0,0,0,0,0,0,0,53289,11235,80,21619,9827,27.4444313
0.0696625,0.03483125,882.469323,-882.705888,0.3125,1,1512.97662,0,0,0,0,0,0,0,57644,12942,80,22432,10202,2.70196366
0.069975,0.0349875,886.643327,-887.253222,0.3125,1,1529.66287,0,0,0,0,0,0,0,57773,12794,80,22814,10406,16.686249
0.0702875,0.03514375,891.305429,-891.564082,0.3125,1,1532.05244,0,0,0,0,0,0,0,59658,13164,80,23920,10918,2.38957
0.0706,0.0353,895.361972,-895.829249,0.625,1,1555.91107,0,0,0,0,0,0,0,60627,13461,80,24146,11056,23.8586266
0.0709125,0.03545625,899.646875,-900.189389,0.3125,1,1575.98195,0,0,0,0,0,0,0,61167,13636,80,24221,11075,20.0708828
0.071225,0.0356125,904.042462,-904.46375,0.3125,1,1601.81799,0,0,0,0,0,0,0,60617,13418,80,24143,11037,25.8360343
0.0715375,0.03576875,908.448097,-908.757349,0.3125,1,1625.41154,0,0,0,0,0,0,0,60764,13505,80,24181,11045,23.5935483
0.07185,0.035925,912.568994,-912.92742,0.3125,1,1654.49784,0,0,0,0,0,0,0,62988,13659,80,26030,11962,29.0863025
0.0721625,0.03608125,911.481077,-911.85749,0.3125,1,1677.22364,0,0,0,0,0,0,0,52602,10955,80,18065,7426,22.7258019
0.072475,0.0362375,919.5769,-919.337384,0.625,1,1703.76844,0,0,0,0,0,0,0,52011,11482,80,18954,8591,26.544795
0.0727875,0.03639375,924.162848,-924.309934,0.3125,1,1710.87714,0,0,0,0,0,0,0,55290,12270,80,21509,9800,7.10870099
0.0731,0.03655,928.892418,-929.01,0.3125,1,1728.36401,0,0,0,0,0,0,0,58930,12872,80,23812,10901,17.4868782
0.0734125,0.03670625,933.494391,-933.399875,0.3125,1,1742.72153,0,0,0,0,0,0,0,61973,13658,80,25155,11553,14.3575201
0.073725,0.0368625,932.52342,-932.911719,0.3125,1,1762.64472,0,0,0,0,0,0,0,56291,11121,80,21686,9367,19.9231856
