# ADR90 WP-A2 tau=0 band, build afb95c40c9e3da1cc97d6aabe8168644c53d0e82 (expected afb95c40c9e3da1cc97d6aabe8168644c53d0e82), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
0.02052,0.01026,259.672335,-259.66544,0.16,0,55.1506388,1.33110969e-05,3571
0.0206,0.0103,260.606982,-260.601756,0.08,0,55.5271051,1.50790518e-05,3655
0.02068,0.01034,261.541802,-261.53769,0.08,0,55.6790161,1.43517268e-05,3655
0.02076,0.01038,262.484622,-262.469733,0.08,0,55.8316848,1.62804361e-05,3655
0.02084,0.01042,263.41504,-263.404365,0.08,0,55.9830971,1.55756522e-05,3655
0.02092,0.01046,264.344697,-264.340754,0.08,0,56.1358643,1.47347452e-05,3655
0.021,0.0105,265.283472,-265.277981,0.16,0,56.2922263,1.38157856e-05,3655
0.02108,0.01054,266.222536,-266.213752,0.08,0,56.6690691,1.58099176e-05,3739
0.02116,0.01058,267.154128,-267.150889,0.08,0,56.8204815,1.58773279e-05,3739
0.02124,0.01062,268.096856,-268.086655,0.08,0,56.964448,1.503675e-05,3739
0.02132,0.01066,269.033907,-269.022807,0.08,0,57.1211245,1.53904247e-05,3739
0.0214,0.0107,269.964215,-269.959021,0.08,0,57.2715592,1.61008754e-05,3739
0.02148,0.01074,270.907444,-270.893197,0.16,0,57.4347968,1.53978016e-05,3739
0.02156,0.01078,271.83351,-271.831829,0.08,0,57.7864633,1.46054922e-05,3823
0.02164,0.01082,272.77298,-272.766387,0.08,0,57.9562523,1.53716004e-05,3823
0.02172,0.01086,273.709119,-273.702141,0.08,0,58.1025867,1.49256781e-05,3823
0.0218,0.0109,274.644597,-274.637982,0.08,0,58.2534697,1.38247049e-05,3823
0.02188,0.01094,275.578049,-275.574893,0.08,0,58.4201989,1.31556374e-05,3823
0.02196,0.01098,276.514645,-276.509773,0.16,0,58.5968733,1.39802764e-05,3823
0.02204,0.01102,277.455837,-277.445646,0.08,0,58.9619093,1.33960185e-05,3895
0.02212,0.01106,278.380264,-278.378312,0.08,0,59.1105871,1.55204307e-05,3895
0.0222,0.0111,279.317975,-279.312222,0.08,0,59.2740386,1.30262797e-05,3895
0.02228,0.01114,280.247478,-280.246206,0.08,0,59.4482443,1.41822864e-05,3895
0.02236,0.01118,281.185174,-281.181985,0.08,0,59.6045563,1.34297544e-05,3895
0.02244,0.01122,282.119714,-282.114978,0.16,0,59.7618966,1.45762517e-05,3895
0.02252,0.01126,283.058277,-283.051806,0.08,0,60.130239,1.33763541e-05,3970
0.0226,0.0113,283.993449,-283.987347,0.08,0,60.2788775,1.33765326e-05,3970
0.02268,0.01134,284.928641,-284.922103,0.08,0,60.4439602,1.40019844e-05,3970
0.02276,0.01138,285.862895,-285.854462,0.08,0,60.5915399,1.33112974e-05,3970
0.02284,0.01142,286.792654,-286.788746,0.08,0,60.752995,1.29978172e-05,3970
0.02292,0.01146,287.731808,-287.723282,0.16,0,60.8943934,1.20075867e-05,3970
0.023,0.0115,288.663351,-288.658049,0.08,0,61.257411,1.29107853e-05,4054
0.02308,0.01154,289.598397,-289.590732,0.08,0,61.4169092,1.31938862e-05,4054
