# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
0.096225,0.0481125,2336.93748,-2337.2831,0.3125,1,3437.59831
0.0965375,0.04826875,2351.78548,-2352.99739,0.3125,1,3447.06075
0.09685,0.048425,2354.97003,-2355.20021,0.3125,1,3458.78125
0.0971625,0.04858125,2369.82938,-2370.96547,0.3125,1,3479.10796
0.09731875,0.048659375,2376.73572,-2377.50331,0.15625,1,3527.40005
0.097475,0.0487375,2379.78949,-2379.59312,0.15625,1,3555.42995
0.09763125,0.048815625,2387.19306,-2387.90804,0.15625,1,3576.65864
0.0977875,0.04889375,2389.6644,-2389.79116,0.15625,1,3608.59171
0.09794375,0.048971875,2397.18974,-2397.93608,0.15625,1,3624.47246
0.0981,0.04905,2399.58171,-2399.79348,0.3125,1,3635.90754
0.0984125,0.04920625,2402.87636,-2403.10705,0.3125,1,3650.70939
0.098725,0.0493625,2418.45837,-2419.5528,0.3125,1,3662.07008
0.0990375,0.04951875,2421.03172,-2421.50215,0.3125,1,3694.31474
0.09935,0.049675,2436.87297,-2437.75034,0.3125,1,3710.0852
0.0996625,0.04983125,2440.95624,-2441.19333,0.3125,1,3723.56727
0.099975,0.0499875,2456.29832,-2456.83944,0.625,1,3757.75465
0.1002875,0.05014375,2461.10889,-2461.04543,0.3125,1,3798.35283
0.1006,0.0503,2475.68731,-2476.63985,0.3125,1,3834.97181
0.10075625,0.050378125,2482.01719,-2483.03855,0.15625,1,3863.61721
0.1009125,0.05045625,2485.236,-2484.99512,0.15625,1,3877.75526
0.10106875,0.050534375,2492.41487,-2493.34211,0.15625,1,3888.12989
0.101225,0.0506125,2495.18809,-2495.18553,0.15625,1,3914.79367
0.10138125,0.050690625,2502.44986,-2503.34899,0.15625,1,3931.16282
0.1015375,0.05076875,2505.15674,-2505.24821,0.3125,1,3945.18177
0.10169375,0.050846875,2512.53982,-2513.40195,0.15625,1,3955.55794
0.10185,0.050925,2515.12221,-2515.30213,0.15625,1,3968.3239
0.10200625,0.051003125,2519.10668,-2519.57195,0.15625,1,3991.40681
