# ADR90 WP-A2 tau=0 band, build 87b9cf846aa6e75f96d620f24a15b24ba4503a52 (expected 87b9cf846aa6e75f96d620f24a15b24ba4503a52), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res
0.04276,0.02138,518.205515,-518.188943,0.32,0,62.0662963,3.52049173e-05,3247,0,0,0,0
0.04308,0.02154,521.875527,-521.86418,0.32,0,62.4033332,3.77160442e-05,3247,0,0,0,0
0.0434,0.0217,525.5594,-525.543384,0.32,0,62.766094,3.54243958e-05,3247,0,0,0,0
0.04372,0.02186,529.259706,-529.2192,0.32,0,63.1013355,3.34719178e-05,3247,0,0,0,0
0.04404,0.02202,532.91524,-532.89921,0.32,0,63.4471474,3.52785903e-05,3247,0,0,0,0
0.04436,0.02218,536.606756,-536.577957,0.64,0,63.7898519,3.63051291e-05,3247,0,0,0,0
0.04468,0.02234,540.263228,-540.251984,0.32,0,64.5123405,3.35721544e-05,3391,0,0,0,0
0.045,0.0225,543.961112,-543.926583,0.32,0,64.856174,3.43290085e-05,3391,0,0,0,0
0.04532,0.02266,547.614858,-547.606964,0.32,0,65.2043948,3.34592658e-05,3391,0,1,0,0
0.04564,0.02282,551.308034,-551.274843,0.32,0,65.555337,3.40486214e-05,3391,0,3,0,0
0.04596,0.02298,554.977759,-554.945485,0.32,0,65.9043195,3.52207904e-05,3391,0,3,0,0
0.04628,0.02314,558.631532,-558.612471,0.64,0,66.251828,3.6047737e-05,3391,0,2,0,0
0.0466,0.0233,562.302438,-562.280406,0.32,0,66.9533679,3.33813286e-05,3535,0,4,0,0
0.04692,0.02346,565.964197,-565.950439,0.32,0,67.2850699,3.73602087e-05,3535,0,2,0,0
0.04724,0.02362,569.636467,-569.621261,0.32,0,67.6310935,3.18844531e-05,3535,0,2,0,0
0.04756,0.02378,573.306627,-573.288565,0.32,0,67.975117,3.57224502e-05,3535,0,0,0,0
0.04788,0.02394,576.976628,-576.965782,0.32,0,68.3168719,3.25017066e-05,3535,0,0,0,0
