s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
0.0326375,0.0326375,2683.41134,670.852834,1.05235556,0.05,9660.42131,0.0362420329
0.0326625,0.0326625,2684.47995,671.119987,1.05277464,0.025,9723.34348,0.0362646471
0.0326875,0.0326875,2685.54805,671.387013,1.05319351,0.025,9747.27749,0.036287215
0.0327125,0.0327125,2686.61558,671.653894,1.05361217,0.025,9769.31137,0.0363098024
0.0327375,0.0327375,2687.68176,671.920439,1.05403029,0.025,9796.49972,0.0363323139
0.0327625,0.0327625,2688.74756,672.186891,1.05444827,0.05,9820.04412,0.0363549024
0.0327875,0.0327875,2689.81266,672.453164,1.05486597,0.025,9882.00749,0.0363774548
0.0328125,0.0328125,2690.8771,672.719275,1.05528341,0.025,9908.06983,0.0364000127
0.0328375,0.0328375,2691.94114,672.985286,1.0557007,0.025,9933.2659,0.0364226001
0.0328625,0.0328625,2693.00422,673.251055,1.05611761,0.025,9954.76043,0.036445138
0.0328875,0.0328875,2694.06684,673.516709,1.05653433,0.05,9978.73084,0.0364676991
0.0329125,0.0329125,2695.12884,673.782211,1.05695082,0.025,10043.7899,0.0364902709
0.0329375,0.0329375,2696.19001,674.047503,1.05736698,0.025,10067.5854,0.0365128069
0.0329625,0.0329625,2697.2507,674.312674,1.05778295,0.025,10091.3502,0.0365353424
0.0329875,0.0329875,2698.31089,674.577723,1.05819873,0.025,10116.6816,0.0365579
0.0330125,0.0330125,2699.37062,674.842655,1.05861432,0.05,10141.766,0.0365804565
0.0330375,0.0330375,2700.42999,675.107498,1.05902978,0.025,10204.7394,0.0366030244
0.0330625,0.0330625,2701.48778,675.371945,1.05944461,0.025,10228.1169,0.0366253699
0.0330875,0.0330875,2702.54434,675.636085,1.05985896,0.025,10252.0152,0.036647794
0.0331125,0.0331125,2703.6002,675.90005,1.06027304,0.025,10276.2958,0.0366702699
0.0331375,0.0331375,2704.65557,676.163893,1.06068692,0.05,10300.7551,0.0366927667
0.0331625,0.0331625,2705.71006,676.427515,1.06110046,0.025,10364.1846,0.0367152185
0.0331875,0.0331875,2706.76395,676.690989,1.06151377,0.025,10385.3866,0.0367377126
0.0332125,0.0332125,2707.81637,676.954093,1.0619265,0.025,10407.8787,0.0367600746
0.0332375,0.0332375,2708.86736,677.21684,1.06233867,0.025,10431.3629,0.0367824511
0.0332625,0.0332625,2709.91674,677.479184,1.0627502,0.05,10456.3633,0.0368047762
0.0333125,0.0333125,2712.01268,678.003171,1.06357217,0.05,10473.4865,0.0368496305
0.0333625,0.0333625,2714.10506,678.526265,1.06439274,0.05,10498.1628,0.0368943668
0.0333875,0.0333875,2715.14938,678.787345,1.06480229,0.025,10561.0107,0.0369165598
0.0334125,0.0334125,2716.19235,679.048087,1.06521131,0.025,10585.2173,0.0369388442
0.0334375,0.0334375,2717.23504,679.308761,1.06562023,0.025,10608.5643,0.0369612324
0.0334625,0.0334625,2718.2771,679.569276,1.06602889,0.025,10633.8128,0.0369835999
0.0334875,0.0334875,2719.31836,679.829589,1.06643724,0.05,10655.0938,0.0370059261
0.0335125,0.0335125,2720.35867,680.089669,1.06684522,0.025,10718.5714,0.0370282635
0.0335375,0.0335375,2721.39835,680.349588,1.06725296,0.025,10742.7624,0.037050568
0.0335625,0.0335625,2722.43657,680.609143,1.06766011,0.025,10767.1937,0.0370727565
0.0335875,0.0335875,2723.4737,680.868426,1.06806685,0.025,10790.2253,0.0370950047
0.0336125,0.0336125,2724.51055,681.127637,1.06847347,0.05,10814.6545,0.037117317
0.0336375,0.0336375,2725.5466,681.386649,1.06887978,0.025,10877.3536,0.0371395913
0.0336625,0.0336625,2726.58199,681.645498,1.06928583,0.025,10899.6436,0.0371618539
0.0336875,0.0336875,2727.61685,681.904211,1.06969167,0.025,10924.3844,0.0371841103
0.0337125,0.0337125,2728.6509,682.162726,1.07009719,0.025,10946.2374,0.0372063713
0.0337375,0.0337375,2729.68466,682.421165,1.0705026,0.05,10969.5105,0.0372286237
0.0337625,0.0337625,2730.71772,682.679431,1.07090774,0.025,11036.7914,0.0372508722
0.0337875,0.0337875,2731.75065,682.937662,1.07131282,0.025,11061.0965,0.0372731623
0.0338125,0.0338125,2732.78277,683.195692,1.07171759,0.025,11084.4152,0.0372953869
0.0338375,0.0338375,2733.81407,683.453518,1.07212204,0.025,11109.6301,0.0373175861
0.0338625,0.0338625,2734.84441,683.711104,1.07252611,0.05,11133.0616,0.0373397867
0.0338875,0.0338875,2735.87421,683.968554,1.07292997,0.025,11194.4778,0.0373620321
0.0339125,0.0339125,2736.90279,684.225697,1.07333334,0.025,11216.3656,0.0373840543
0.0339375,0.0339375,2737.93031,684.482577,1.07373631,0.025,11239.9803,0.0374061696
0.0339625,0.0339625,2738.95734,684.739335,1.07413908,0.025,11259.6913,0.0374283811
0.0339875,0.0339875,2739.98362,684.995905,1.07454155,0.05,11284.8659,0.0374504933
0.0340125,0.0340125,2741.00903,685.252258,1.07494369,0.025,11347.8275,0.0374726373
0.0340375,0.0340375,2742.03397,685.508494,1.07534564,0.025,11371.2149,0.0374947754
0.0340625,0.0340625,2743.05824,685.764561,1.07574733,0.025,11394.5717,0.037516921
0.0340875,0.0340875,2744.08167,686.020418,1.07614869,0.025,11417.2748,0.0375389755
0.0341125,0.0341125,2745.10399,686.275996,1.07654961,0.05,11443.0236,0.0375610302
0.0341375,0.0341375,2746.12565,686.531412,1.07695028,0.025,11504.7764,0.0375831333
0.0341625,0.0341625,2747.14703,686.786757,1.07735083,0.025,11528.3499,0.0376052622
0.0341875,0.0341875,2748.16775,687.041938,1.07775113,0.025,11550.9558,0.03762736
0.0342125,0.0342125,2749.18756,687.296891,1.07815107,0.025,11572.4094,0.0376494094
0.0342375,0.0342375,2750.20737,687.551844,1.07855101,0.05,11594.4841,0.0376715598
0.0342625,0.0342625,2751.22614,687.806534,1.07895054,0.025,11655.2795,0.0376936094
0.0342875,0.0342875,2752.24449,688.061123,1.07934991,0.025,11681.226,0.0377156898
0.0343125,0.0343125,2753.26182,688.315455,1.07974888,0.025,11704.4383,0.0377377189
0.0343375,0.0343375,2754.27857,688.569642,1.08014761,0.025,11727.7116,0.0377597697
0.0343625,0.0343625,2755.29451,688.823628,1.08054604,0.05,11747.8341,0.0377818076
0.0343875,0.0343875,2756.30955,689.077387,1.08094411,0.025,11810.3071,0.0378038116
0.0344125,0.0344125,2757.32378,689.330946,1.08134186,0.025,11832.9599,0.0378258203
0.0344375,0.0344375,2758.33728,689.584321,1.08173932,0.025,11857.5115,0.0378478089
0.0344625,0.0344625,2759.34986,689.837465,1.08213643,0.025,11879.2544,0.0378697913
0.0344875,0.0344875,2760.36186,690.090464,1.0825333,0.05,11900.3964,0.0378917918
0.0345125,0.0345125,2761.37273,690.343182,1.08292974,0.025,11963.4791,0.0379137344
0.0345375,0.0345375,2762.38316,690.595789,1.083326,0.025,11984.769,0.0379357361
0.0345625,0.0345625,2763.39245,690.848113,1.08372181,0.025,12007.632,0.037957646
0.0345875,0.0345875,2764.40107,691.100268,1.08411737,0.025,12028.7122,0.0379796178
0.0346125,0.0346125,2765.40888,691.35222,1.0845126,0.05,12052.7773,0.0380015163
0.0346375,0.0346375,2766.4163,691.604075,1.08490768,0.025,12114.0511,0.0380235436
0.0346625,0.0346625,2767.42332,691.855829,1.0853026,0.025,12133.2522,0.038045549
0.0346875,0.0346875,2768.42905,692.107264,1.08569702,0.025,12155.3067,0.0380673654
0.0347125,0.0347125,2769.43298,692.358245,1.08609073,0.025,12177.5334,0.0380891889
0.0347375,0.0347375,2770.43662,692.609154,1.08648433,0.05,12200.7365,0.0381111344
0.0347625,0.0347625,2771.43979,692.859948,1.08687775,0.025,12261.4649,0.0381330828
0.0347875,0.0347875,2772.44248,693.11062,1.08727097,0.025,12285.1739,0.0381549789
0.0348125,0.0348125,2773.44446,693.361115,1.08766392,0.025,12307.4029,0.038176888
0.0348375,0.0348375,2774.44588,693.611469,1.08805665,0.025,12330.0619,0.0381987658
0.0348625,0.0348625,2775.44654,693.861636,1.08844908,0.05,12349.0932,0.038220645
0.0348875,0.0348875,2776.44615,694.111537,1.08884109,0.025,12412.4408,0.0382424913
0.0349125,0.0349125,2777.44509,694.361272,1.08923285,0.025,12436.073,0.0382643311
0.0349375,0.0349375,2778.44328,694.610819,1.08962431,0.025,12458.866,0.0382861885
0.0349625,0.0349625,2779.44,694.860001,1.09001519,0.025,12483.5121,0.0383078972
0.0349875,0.0349875,2780.43556,695.10889,1.09040562,0.05,12508.6454,0.0383296519
0.0350125,0.0350125,2781.43006,695.357515,1.09079564,0.025,12567.716,0.0383514106
0.0350375,0.0350375,2782.42279,695.605698,1.09118496,0.025,12588.5711,0.0383731214
0.0350625,0.0350625,2783.41486,695.853716,1.09157402,0.025,12607.3497,0.0383949111
0.0350875,0.0350875,2784.40577,696.101443,1.09196262,0.025,12626.8205,0.0384166029
0.0351125,0.0351125,2785.39623,696.349058,1.09235105,0.05,12649.09,0.0384384099
0.0351375,0.0351375,2786.38617,696.596542,1.09273928,0.025,12708.436,0.0384601759
0.0351625,0.0351625,2787.37518,696.843794,1.09312714,0.025,12729.0417,0.0384818667
0.0351875,0.0351875,2788.3634,697.09085,1.09351469,0.025,12749.7191,0.0385035719
0.0352125,0.0352125,2789.35022,697.337556,1.09390169,0.025,12771.4424,0.0385251788
0.0352375,0.0352375,2790.33682,697.584206,1.09428861,0.05,12792.0858,0.0385469366
0.0352625,0.0352625,2791.32249,697.830622,1.09467516,0.025,12852.9228,0.0385685912
0.0352875,0.0352875,2792.30782,698.076955,1.09506158,0.025,12874.5252,0.0385903165
0.0353125,0.0353125,2793.29204,698.323009,1.09544756,0.025,12894.3026,0.0386119354
0.0353375,0.0353375,2794.27559,698.568896,1.09583328,0.025,12917.7557,0.0386336112
0.0353625,0.0353625,2795.25882,698.814705,1.09621887,0.05,12939.1339,0.0386553234
0.0353875,0.0353875,2796.24122,699.060305,1.09660414,0.025,12996.5566,0.0386769856
0.0354125,0.0354125,2797.22331,699.305829,1.09698929,0.025,13019.2052,0.0386986652
0.0354375,0.0354375,2798.20452,699.551129,1.09737409,0.025,13041.0461,0.0387203117
0.0354625,0.0354625,2799.18506,699.796265,1.09775863,0.025,13062.4994,0.0387419585
0.0354875,0.0354875,2800.16517,700.041294,1.098143,0.05,13084.4213,0.0387636065
0.0355125,0.0355125,2801.14375,700.285937,1.09852677,0.025,13144.3512,0.0387851324
0.0355375,0.0355375,2802.1214,700.530351,1.09891018,0.025,13168.6114,0.0388066883
0.0355625,0.0355625,2803.09758,700.774395,1.09929301,0.025,13189.0336,0.0388282179
0.0355875,0.0355875,2804.07314,701.018286,1.09967559,0.025,13212.3651,0.0388497653
0.0356125,0.0356125,2805.04817,701.262042,1.10005797,0.05,13236.0702,0.0388713755
0.0356375,0.0356375,2806.02283,701.505709,1.10044021,0.025,13296.7453,0.0388929686
0.0356625,0.0356625,2806.99671,701.749179,1.10082213,0.025,13321.5147,0.0389145269
0.0356875,0.0356875,2807.97045,701.992613,1.101204,0.025,13342.5768,0.038936161
0.0357125,0.0357125,2808.94389,702.235972,1.10158576,0.025,13365.292,0.0389577303
0.0357375,0.0357375,2809.91661,702.479154,1.10196723,0.05,13386.9632,0.0389793061
0.0357625,0.0357625,2810.88894,702.722235,1.10234855,0.025,13445.9658,0.0390008676
0.0357875,0.0357875,2811.86075,702.965187,1.10272966,0.025,13465.0654,0.0390224055
0.0358125,0.0358125,2812.83208,703.20802,1.10311059,0.025,13488.3221,0.0390439783
0.0358375,0.0358375,2813.80287,703.450716,1.10349131,0.025,13507.8492,0.0390655275
0.0358625,0.0358625,2814.77121,703.692803,1.10387106,0.05,13530.6174,0.039086752
0.0358875,0.0358875,2815.73925,703.934812,1.1042507,0.025,13591.0003,0.0391083078
0.0359125,0.0359125,2816.70681,704.176702,1.10463015,0.025,13612.9634,0.0391297944
0.0359375,0.0359375,2817.67403,704.418508,1.10500947,0.025,13637.6219,0.0391512917
0.0359625,0.0359625,2818.64054,704.660135,1.1053885,0.025,13659.8676,0.039172774
0.0359875,0.0359875,2819.6064,704.9016,1.10576728,0.05,13681.6277,0.0391942439
0.0360125,0.0360125,2820.57132,705.14283,1.1061457,0.025,13741.1969,0.039215646
0.0360375,0.0360375,2821.53591,705.383978,1.10652398,0.025,13762.9214,0.0392371256
0.0360625,0.0360625,2822.49975,705.624938,1.10690197,0.025,13782.5365,0.0392585691
0.0360875,0.0360875,2823.4633,705.865825,1.10727985,0.025,13802.262,0.0392800699
0.0361125,0.0361125,2824.4258,706.10645,1.10765731,0.05,13826.4309,0.0393014123
0.0361375,0.0361375,2825.38749,706.346871,1.10803446,0.025,13885.7602,0.0393228491
0.0361625,0.0361625,2826.34894,706.587234,1.10841151,0.025,13908.2894,0.0393443218
0.0361875,0.0361875,2827.31006,706.827515,1.10878843,0.025,13929.1032,0.0393657987
0.0362125,0.0362125,2828.27029,707.067572,1.10916501,0.025,13951.495,0.0393870859
0.0362375,0.0362375,2829.22968,707.307419,1.10954125,0.05,13971.6663,0.0394084773
0.0362625,0.0362625,2830.1882,707.547049,1.10991715,0.025,14031.6002,0.0394297925
0.0362875,0.0362875,2831.14597,707.786493,1.11029277,0.025,14054.3374,0.0394511657
0.0363125,0.0363125,2832.10331,708.025827,1.11066821,0.025,14077.4101,0.0394725721
0.0363375,0.0363375,2833.05995,708.264987,1.11104337,0.025,14100.1327,0.0394938988
0.0363625,0.0363625,2834.01614,708.504034,1.11141836,0.05,14121.9914,0.0395152795
0.0363875,0.0363875,2834.97204,708.74301,1.11179324,0.025,14182.3173,0.039536705
0.0364125,0.0364125,2835.92717,708.981792,1.11216781,0.025,14204.4796,0.0395580168
0.0364375,0.0364375,2836.88171,709.220428,1.11254216,0.025,14225.7284,0.0395794139
0.0364625,0.0364625,2837.83595,709.458987,1.11291638,0.025,14246.2233,0.0396007585
0.0364875,0.0364875,2838.78933,709.697333,1.11329027,0.05,14269.674,0.039622024
0.0365125,0.0365125,2839.74216,709.935539,1.11366394,0.025,14328.0009,0.0396433778
0.0365375,0.0365375,2840.69468,710.173671,1.11403749,0.025,14348.8366,0.0396647371
0.0365625,0.0365625,2841.64615,710.411538,1.11441063,0.025,14367.084,0.0396859859
0.0365875,0.0365875,2842.59742,710.649355,1.11478369,0.025,14385.0635,0.039707375
0.0366125,0.0366125,2843.54811,710.887027,1.11515652,0.05,14403.5188,0.0397286349
0.0366375,0.0366375,2844.49881,711.124703,1.11552936,0.025,14458.5377,0.0397500147
0.0366625,0.0366625,2845.44855,711.362138,1.11590182,0.025,14477.7832,0.0397712296
0.0366875,0.0366875,2846.39759,711.599397,1.116274,0.025,14498.6017,0.0397925008
0.0367125,0.0367125,2847.34632,711.836579,1.11664607,0.025,14518.9782,0.039813806
0.0367375,0.0367375,2848.29467,712.073667,1.11701798,0.05,14538.6921,0.03983511
0.0367625,0.0367625,2849.24232,712.310581,1.11738963,0.025,14591.4365,0.0398563747
0.0367875,0.0367875,2850.18847,712.547116,1.11776068,0.025,14611.749,0.0398774964
0.0368125,0.0368125,2851.13337,712.783344,1.11813124,0.025,14629.9657,0.0398986549
0.0368375,0.0368375,2852.07713,713.019282,1.11850135,0.025,14648.5509,0.0399198674
0.0368625,0.0368625,2853.01968,713.25492,1.118871,0.05,14668.8715,0.0399409992
0.0368875,0.0368875,2853.96214,713.490535,1.1192406,0.025,14720.6184,0.0399621941
0.0369125,0.0369125,2854.90355,713.725887,1.11960979,0.025,14740.0595,0.0399834094
0.0369375,0.0369375,2855.84432,713.961079,1.11997874,0.025,14758.0484,0.0400046141
0.0369625,0.0369625,2856.7844,714.196101,1.12034741,0.025,14777.4202,0.0400257082
0.0369875,0.0369875,2857.72433,714.431083,1.12071602,0.05,14796.2195,0.0400469434
0.0370125,0.0370125,2858.6634,714.665851,1.1210843,0.025,14848.4275,0.0400681071
0.0370375,0.0370375,2859.60193,714.900481,1.12145236,0.025,14866.882,0.0400892778
0.0370625,0.0370625,2860.54038,715.135096,1.1218204,0.025,14885.4902,0.0401104918
0.0370875,0.0370875,2861.47833,715.369583,1.12218823,0.025,14902.5264,0.0401316727
0.0371125,0.0371125,2862.41587,715.603966,1.12255591,0.05,14920.2272,0.0401528337
0.0371375,0.0371375,2863.35265,715.838163,1.12292329,0.025,14970.6707,0.0401739773
