s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
0.14839375,0.14839375,524.792022,131.198006,0.205808104,0.4,7409.82822,63.489046
0.14879375,0.14879375,524.844246,131.211062,0.205828585,0.4,7425.10791,63.4417166
0.14919375,0.14919375,524.896863,131.224216,0.20584922,0.4,7440.33712,63.3943843
0.14939375,0.14939375,524.923806,131.230951,0.205859786,0.2,7476.61851,63.3704837
0.14959375,0.14959375,524.951022,131.237756,0.20587046,0.2,7489.76996,63.3466986
0.14979375,0.14979375,524.978423,131.244606,0.205881205,0.2,7504.96839,63.3229937
0.14999375,0.14999375,525.005881,131.25147,0.205891974,0.2,7517.75737,63.2995744
0.15019375,0.15019375,525.033381,131.258345,0.205902758,0.4,7533.70132,63.2764322
0.15059375,0.15059375,525.086803,131.271701,0.205923709,0.4,7548.12486,63.2316006
0.15099375,0.15099375,525.140486,131.285122,0.205944762,0.4,7564.50185,63.1876893
0.15139375,0.15139375,525.195034,131.298758,0.205966154,0.4,7585.19034,63.1438226
0.15159375,0.15159375,525.223377,131.305844,0.205977269,0.2,7620.24024,63.1216893
0.15179375,0.15179375,525.251845,131.312961,0.205988434,0.2,7632.78224,63.1001607
0.15199375,0.15199375,525.280549,131.320137,0.205999691,0.2,7643.84512,63.0787261
0.15219375,0.15219375,525.309463,131.327366,0.20601103,0.2,7658.79504,63.0573652
0.15239375,0.15239375,525.338161,131.33454,0.206022284,0.4,7675.50125,63.0360683
0.15259375,0.15259375,525.366983,131.341746,0.206033587,0.2,7711.71489,63.014815
0.15279375,0.15279375,525.396006,131.349002,0.206044969,0.2,7725.31602,62.9936064
0.15299375,0.15299375,525.425246,131.356312,0.206056437,0.2,7737.19712,62.9724403
0.15319375,0.15319375,525.454705,131.363676,0.206067989,0.2,7753.35189,62.9513126
0.15339375,0.15339375,525.484425,131.371106,0.206079645,0.4,7768.09414,62.9302296
0.15359375,0.15359375,525.514403,131.378601,0.206091401,0.2,7804.81358,62.909188
0.15379375,0.15379375,525.544478,131.386119,0.206103196,0.2,7817.2613,62.8881929
0.15399375,0.15399375,525.574556,131.393639,0.206114991,0.2,7831.23746,62.8672433
0.15419375,0.15419375,525.604922,131.401231,0.2061269,0.2,7844.01031,62.8463332
0.15439375,0.15439375,525.635589,131.408897,0.206138927,0.4,7858.55733,62.8254649
0.15459375,0.15459375,525.666572,131.416643,0.206151077,0.2,7894.48139,62.8046403
0.15479375,0.15479375,525.697884,131.424471,0.206163357,0.2,7909.93408,62.783862
0.15499375,0.15499375,525.728912,131.432228,0.206175525,0.2,7924.50639,62.7633854
0.15519375,0.15519375,525.759418,131.439855,0.206187489,0.2,7938.18761,62.743719
0.15539375,0.15539375,525.790103,131.447526,0.206199523,0.4,7951.52165,62.7240945
0.15579375,0.15579375,525.849576,131.462394,0.206222846,0.4,7968.95797,62.685417
0.15619375,0.15619375,525.910436,131.477609,0.206246714,0.4,7983.6045,62.6467463
0.15659375,0.15659375,525.973012,131.493253,0.206271254,0.4,7998.59921,62.6087602
0.15699375,0.15699375,526.036782,131.509196,0.206296263,0.4,8013.95897,62.5725395
0.15739375,0.15739375,526.102439,131.52561,0.206322012,0.4,8029.74662,62.5365927
0.15779375,0.15779375,526.169579,131.542395,0.206348342,0.4,8046.24798,62.500869
0.15819375,0.15819375,526.238142,131.559535,0.20637523,0.4,8059.73207,62.4653934
0.15859375,0.15859375,526.307931,131.576983,0.2064026,0.4,8074.32878,62.4301663
0.15899375,0.15899375,526.388795,131.597199,0.206434312,0.4,8089.81555,62.3961232
0.15939375,0.15939375,526.512075,131.628019,0.206482659,0.4,8106.1178,62.366485
0.15979375,0.15979375,526.689484,131.672371,0.206552234,0.4,8122.67375,62.3432423
0.16019375,0.16019375,526.878574,131.719644,0.206626389,0.4,8138.66204,62.3219673
0.16059375,0.16059375,527.077033,131.769258,0.206704219,0.4,8153.04096,62.3023482
0.16099375,0.16099375,527.285794,131.821448,0.206786089,0.4,8169.08288,62.2842755
0.16139375,0.16139375,527.503117,131.875779,0.206871317,0.4,8186.24981,62.2675253
0.16179375,0.16179375,527.727231,131.931808,0.206959208,0.4,8206.31117,62.251999
0.16219375,0.16219375,527.961438,131.99036,0.207051057,0.4,8222.80293,62.2379203
0.16259375,0.16259375,528.202431,132.050608,0.207145567,0.4,8239.51404,62.2248781
0.16299375,0.16299375,528.458162,132.114541,0.207245858,0.4,8254.27154,62.2132944
0.16339375,0.16339375,528.723593,132.180898,0.207349952,0.4,8271.64702,62.2030225
0.16379375,0.16379375,528.99653,132.249132,0.20745699,0.4,8289.32891,62.1939044
0.16419375,0.16419375,529.265084,132.316271,0.207562309,0.4,8308.42498,62.1852328
0.16439375,0.16439375,529.408888,132.352222,0.207618704,0.2,8347.4778,62.1811363
0.16449375,0.16449375,529.481677,132.370419,0.20764725,0.1,8390.55869,62.1791079
0.16459375,0.16459375,529.555127,132.388782,0.207676055,0.1,8411.46289,62.1772003
0.16464375,0.16464375,529.591806,132.397951,0.207690439,0.05,8446.46642,62.1762358
