s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.075175,0.075175,6130.31342,1532.57836,2.40412989,0.1,3222.89281
0.075275,0.075275,6135.20144,1533.80036,2.40604683,0.1,3231.24537
0.075375,0.075375,6140.08657,1535.02164,2.40796263,0.1,3239.67478
0.075475,0.075475,6144.96723,1536.24181,2.40987668,0.2,3247.35593
0.075675,0.075675,6154.71205,1538.67801,2.41369832,0.2,3255.82207
0.075875,0.075875,6164.44689,1541.11172,2.41751604,0.2,3263.61027
0.076075,0.076075,6174.15799,1543.5395,2.42132445,0.2,3271.19341
0.076275,0.076275,6183.85771,1545.96443,2.42512839,0.2,3278.69143
0.076475,0.076475,6193.54798,1548.38699,2.42892863,0.4,3285.9126
0.076875,0.076875,6212.86896,1553.21724,2.43650576,0.4,3298.69424
0.076975,0.076975,6217.69801,1554.4245,2.43839957,0.1,3352.31962
0.077075,0.077075,6222.52381,1555.63095,2.44029211,0.1,3359.5948
0.077175,0.077175,6227.34868,1556.83717,2.44218428,0.1,3366.75821
0.077275,0.077275,6232.17101,1558.04275,2.44407546,0.1,3375.62012
0.077375,0.077375,6236.99193,1559.24798,2.44596608,0.2,3382.6164
0.077475,0.077475,6241.80924,1560.45231,2.44785529,0.1,3414.00865
0.077575,0.077575,6246.62598,1561.6565,2.44974428,0.1,3421.7475
0.077675,0.077675,6251.43946,1562.85987,2.45163198,0.1,3430.6585
0.077775,0.077775,6256.24887,1564.06222,2.45351809,0.1,3436.82023
0.077875,0.077875,6261.05396,1565.26349,2.45540251,0.2,3444.45042
0.077975,0.077975,6265.85698,1566.46425,2.45728611,0.1,3473.47994
0.078075,0.078075,6270.65644,1567.66411,2.45916832,0.1,3479.42336
0.078175,0.078175,6275.45373,1568.86343,2.46104968,0.1,3486.43571
0.078275,0.078275,6280.24173,1570.06043,2.46292739,0.1,3493.65124
0.078375,0.078375,6285.02621,1571.25655,2.46480373,0.2,3502.01515
0.078475,0.078475,6289.80628,1572.45157,2.46667833,0.1,3529.97828
0.078575,0.078575,6294.5806,1573.64515,2.46855068,0.1,3537.76255
0.078675,0.078675,6299.35351,1574.83838,2.47042247,0.1,3545.38518
0.078775,0.078775,6304.12326,1576.03081,2.47229303,0.1,3554.41675
0.078875,0.078875,6308.88974,1577.22243,2.4741623,0.2,3561.59458
0.078975,0.078975,6313.65005,1578.41251,2.47602916,0.1,3593.33834
0.079075,0.079075,6318.40535,1579.60134,2.47789405,0.1,3601.75237
0.079175,0.079175,6323.15845,1580.78961,2.47975807,0.1,3608.47272
0.079275,0.079275,6327.91017,1581.97754,2.48162156,0.1,3616.19079
0.079375,0.079375,6332.65939,1583.16485,2.48348406,0.2,3624.47741
0.079475,0.079475,6337.40634,1584.35158,2.48534568,0.1,3653.2966
0.079575,0.079575,6342.14594,1585.53649,2.48720442,0.1,3661.67526
0.079675,0.079675,6346.88391,1586.72098,2.48906251,0.1,3670.18268
0.079775,0.079775,6351.61782,1587.90445,2.49091901,0.1,3677.97623
0.079875,0.079875,6356.35066,1589.08766,2.49277509,0.2,3687.05959
0.079975,0.079975,6361.08254,1590.27064,2.4946308,0.1,3717.23933
0.080075,0.080075,6365.81343,1591.45336,2.49648611,0.1,3725.0438
0.080175,0.080175,6370.54174,1592.63544,2.49834042,0.1,3733.46999
0.080275,0.080275,6375.26739,1593.81685,2.50019368,0.1,3740.71621
0.080375,0.080375,6379.9912,1594.9978,2.50204622,0.2,3749.75518
0.080575,0.080575,6389.42346,1597.35586,2.50574528,0.2,3757.48439
0.080775,0.080775,6398.8426,1599.71065,2.50943919,0.2,3765.25601
0.080975,0.080975,6408.24856,1602.06214,2.51312793,0.2,3772.99983
0.081175,0.081175,6417.64682,1604.41171,2.51681365,0.2,3780.76032
0.081375,0.081375,6427.03618,1606.75905,2.52049589,0.4,3789.29407
0.081575,0.081575,6436.41783,1609.10446,2.5241751,0.2,3820.04683
0.081775,0.081775,6445.78694,1611.44674,2.52784939,0.2,3828.10013
0.081975,0.081975,6455.14376,1613.78594,2.53151886,0.2,3836.77254
0.082175,0.082175,6464.48592,1616.12148,2.53518258,0.2,3844.34435
0.082375,0.082375,6473.81486,1618.45371,2.53884112,0.4,3851.53007
0.082575,0.082575,6483.1374,1620.78435,2.54249715,0.2,3879.4736
0.082775,0.082775,6492.45098,1623.11274,2.54614966,0.2,3887.38579
0.082975,0.082975,6501.75322,1625.4383,2.54979773,0.2,3893.88734
0.083175,0.083175,6511.04285,1627.76071,2.55344085,0.2,3900.32179
0.083375,0.083375,6520.32596,1630.08149,2.55708142,0.4,3907.16379
0.083575,0.083575,6529.60279,1632.4007,2.56071952,0.2,3934.75486
0.083775,0.083775,6538.87188,1634.71797,2.56435458,0.2,3941.83776
0.083975,0.083975,6548.13569,1637.03392,2.56798758,0.2,3948.88021
0.084175,0.084175,6557.38476,1639.34619,2.57161479,0.2,3957.23374
0.084375,0.084375,6566.61911,1641.65478,2.57523624,0.4,3964.75075
0.084575,0.084575,6575.84538,1643.96135,2.57885451,0.2,3992.73913
0.084775,0.084775,6585.06064,1646.26516,2.58246846,0.2,3998.88024
0.084975,0.084975,6594.263,1648.56575,2.58607736,0.2,4005.98177
0.085175,0.085175,6603.4546,1650.86365,2.58968204,0.2,4013.00613
0.085375,0.085375,6612.63794,1653.15948,2.59328348,0.4,4019.39435
0.085575,0.085575,6621.81386,1655.45347,2.59688201,0.2,4047.25917
0.085775,0.085775,6630.97951,1657.74488,2.60047651,0.2,4053.72539
0.085975,0.085975,6640.13656,1660.03414,2.60406763,0.2,4060.20872
0.086175,0.086175,6649.27811,1662.31953,2.60765268,0.2,4067.24713
0.086375,0.086375,6658.41236,1664.60309,2.61123487,0.4,4074.75155
0.086575,0.086575,6667.53543,1666.88386,2.61481267,0.2,4102.06099
0.086775,0.086775,6676.64282,1669.16071,2.61838432,0.2,4109.18147
0.086975,0.086975,6685.73623,1671.43406,2.62195049,0.2,4116.15526
0.087175,0.087175,6694.81971,1673.70493,2.62551277,0.2,4123.31851
0.087375,0.087375,6703.88396,1675.97099,2.6290675,0.4,4130.87155
0.087575,0.087575,6712.94012,1678.23503,2.63261906,0.2,4159.19972
0.087775,0.087775,6721.98864,1680.49716,2.63616763,0.2,4165.13234
0.087975,0.087975,6731.0317,1682.75793,2.63971405,0.2,4172.1932
0.088175,0.088175,6740.06724,1685.01681,2.64325753,0.2,4179.2681
0.088375,0.088375,6749.09709,1687.27427,2.64679877,0.4,4186.22837
0.088575,0.088575,6758.11789,1689.52947,2.65033646,0.2,4214.70088
0.088775,0.088775,6767.12878,1691.78219,2.65387027,0.2,4221.80262
0.088975,0.088975,6776.12805,1694.03201,2.65739952,0.2,4228.84625
0.089175,0.089175,6785.11533,1696.27883,2.66092407,0.2,4235.32817
0.089375,0.089375,6794.09344,1698.52336,2.66444502,0.4,4242.24275
0.089575,0.089575,6803.06416,1700.76604,2.66796308,0.2,4270.45203
0.089775,0.089775,6812.02795,1703.00699,2.67147842,0.2,4277.64612
0.089975,0.089975,6820.98272,1705.24568,2.67499021,0.2,4284.69197
0.090175,0.090175,6829.92734,1707.48183,2.67849803,0.2,4291.68341
0.090375,0.090375,6838.86447,1709.71612,2.68200292,0.4,4299.61458
0.090575,0.090575,6847.79383,1711.94846,2.68550475,0.2,4328.39825
0.090775,0.090775,6856.71343,1714.17836,2.68900276,0.2,4336.02475
0.090975,0.090975,6865.62051,1716.40513,2.69249585,0.2,4342.54167
0.091175,0.091175,6874.51579,1718.62895,2.69598432,0.2,4350.23549
0.091375,0.091375,6883.40495,1720.85124,2.69947039,0.4,4356.64265
