s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.078775,1464.28682,1464.28682,0.0625,0,1300.73993
0.0788375,1464.59636,1464.59636,0.0625,0,1301.6642
0.0789,1464.85391,1464.85391,0.0625,0,1302.4715
0.0789625,1465.08598,1465.08598,0.0625,0,1303.32088
0.079025,1465.27778,1465.27778,0.0625,0,1304.32404
0.0790875,1465.52259,1465.52259,0.0625,0,1305.45239
0.07915,1465.75586,1465.75586,0.125,0,1307.32387
0.079275,1466.22387,1466.22387,0.125,0,1308.72847
0.0794,1466.73235,1466.73235,0.125,0,1311.31521
0.079525,1467.19615,1467.19615,0.125,0,1315.30418
0.07965,1467.68256,1467.68256,0.125,0,1317.76073
0.079775,1472.66519,1472.66519,0.125,1,1329.24367
0.0799,1476.1211,1476.1211,0.25,1,1338.74249
0.080025,1476.20262,1476.20262,0.125,1,1365.81342
0.08015,1478.79355,1478.79355,0.125,1,1374.84494
0.080275,1479.91673,1479.91673,0.125,1,1386.76005
0.0803375,1479.24302,1479.24302,0.0625,1,1413.44878
0.0804,1481.68935,1481.68935,0.0625,1,1423.6986
0.0804625,1479.89272,1479.89272,0.0625,1,1433.45673
0.080525,1480.09425,1480.09425,0.0625,1,1443.75368
0.08055625,1481.30245,1481.30245,0.03125,1,1469.87008
0.0805875,1480.44468,1480.44468,0.03125,1,1481.32649
0.08061875,1478.20266,1478.20266,0.03125,1,1492.38556
0.08065,1479.63861,1479.63861,0.03125,1,1503.5912
0.08068125,1480.68458,1480.68458,0.03125,1,1514.7502
0.0807125,1481.5977,1481.5977,0.0625,1,1526.7087
0.080775,1479.83318,1479.83318,0.0625,1,1537.72687
0.0808375,1482.54494,1482.54494,0.0625,1,1549.60559
