s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0603,0.03015,158.62787,158.62787,0.025,0,1834.49288
0.060325,0.0301625,158.627993,158.627993,0.025,0,1835.10778
0.06035,0.030175,158.628015,158.628015,0.05,0,1835.72374
0.060375,0.0301875,158.628089,158.628089,0.025,0,1838.59359
0.0604,0.0302,158.628256,158.628256,0.025,0,1839.34884
0.060425,0.0302125,158.628171,158.628171,0.025,0,1840.0802
0.06045,0.030225,158.628308,158.628308,0.025,0,1840.69782
0.060475,0.0302375,158.628377,158.628377,0.025,0,1841.29761
0.0605,0.03025,158.628503,158.628503,0.05,0,1841.89356
0.060525,0.0302625,158.628448,158.628448,0.025,0,1844.83438
0.06055,0.030275,158.628667,158.628667,0.025,0,1845.34634
0.060575,0.0302875,158.62867,158.62867,0.025,0,1845.97002
0.0606,0.0303,158.628744,158.628744,0.025,0,1846.56266
0.060625,0.0303125,158.628745,158.628745,0.025,0,1847.12169
0.06065,0.030325,158.628936,158.628936,0.05,0,1847.7071
0.060675,0.0303375,158.628895,158.628895,0.025,0,1850.69583
0.0607,0.03035,158.62908,158.62908,0.025,0,1851.46084
0.060725,0.0303625,158.629106,158.629106,0.025,0,1852.04246
0.06075,0.030375,158.629176,158.629176,0.025,0,1852.63022
0.060775,0.0303875,158.629239,158.629239,0.025,0,1853.16059
0.0608,0.0304,158.629371,158.629371,0.05,0,1853.69064
0.060825,0.0304125,158.629398,158.629398,0.025,0,1856.56093
0.06085,0.030425,158.629467,158.629467,0.025,0,1857.08175
0.060875,0.0304375,158.629587,158.629587,0.025,0,1857.6809
0.0609,0.03045,158.62961,158.62961,0.025,0,1858.26335
0.060925,0.0304625,158.629673,158.629673,0.025,0,1858.77342
0.06095,0.030475,158.629824,158.629824,0.05,0,1859.29367
0.060975,0.0304875,158.629826,158.629826,0.025,0,1861.9371
0.061,0.0305,158.6299,158.6299,0.025,0,1862.47122
0.061025,0.0305125,158.629972,158.629972,0.025,0,1863.07901
0.06105,0.030525,158.630043,158.630043,0.025,0,1863.6104
0.061075,0.0305375,158.630113,158.630113,0.025,0,1864.12355
0.0611,0.03055,158.630235,158.630235,0.05,0,1864.7163
0.061125,0.0305625,158.63026,158.63026,0.025,0,1867.65622
0.06115,0.030575,158.63033,158.63033,0.025,0,1868.1841
0.061175,0.0305875,158.630451,158.630451,0.025,0,1868.72318
0.0612,0.0306,158.630473,158.630473,0.025,0,1869.23936
0.061225,0.0306125,158.630612,158.630612,0.025,0,1869.77416
0.06125,0.030625,158.630616,158.630616,0.05,0,1870.28241
0.061275,0.0306375,158.63069,158.63069,0.025,0,1872.97584
0.0613,0.03065,158.63076,158.63076,0.025,0,1873.5006
0.061325,0.0306625,158.630833,158.630833,0.025,0,1873.97739
0.06135,0.030675,158.630903,158.630903,0.025,0,1874.57143
0.061375,0.0306875,158.631007,158.631007,0.025,0,1875.08989
0.0614,0.0307,158.630976,158.630976,0.05,0,1875.65119
0.061425,0.0307125,158.631119,158.631119,0.025,0,1878.43503
0.06145,0.030725,158.631221,158.631221,0.025,0,1878.9869
0.061475,0.0307375,158.631262,158.631262,0.025,0,1879.49623
0.0615,0.03075,158.631332,158.631332,0.025,0,1880.08131
0.061525,0.0307625,158.631403,158.631403,0.025,0,1880.65078
0.06155,0.030775,158.631475,158.631475,0.05,0,1881.21063
0.061575,0.0307875,158.631627,158.631627,0.025,0,1883.93159
0.0616,0.0308,158.631666,158.631666,0.025,0,1884.44605
0.061625,0.0308125,158.63169,158.63169,0.025,0,1885.06379
0.06165,0.030825,158.631809,158.631809,0.025,0,1885.53686
0.061675,0.0308375,158.631832,158.631832,0.025,0,1886.04777
0.0617,0.03085,158.631984,158.631984,0.05,0,1886.624
0.061725,0.0308625,158.631962,158.631962,0.025,0,1889.3448
0.06175,0.030875,158.632126,158.632126,0.025,0,1889.92848
0.061775,0.0308875,158.632161,158.632161,0.025,0,1890.514
0.0618,0.0309,158.632267,158.632267,0.025,0,1891.02961
0.061825,0.0309125,158.632306,158.632306,0.025,0,1891.64214
0.06185,0.030925,158.63236,158.63236,0.05,0,1892.10422
0.061875,0.0309375,158.6324,158.6324,0.025,0,1894.91071
0.0619,0.03095,158.632472,158.632472,0.025,0,1895.44658
0.061925,0.0309625,158.632623,158.632623,0.025,0,1896.04633
0.06195,0.030975,158.632692,158.632692,0.025,0,1896.62465
0.061975,0.0309875,158.632682,158.632682,0.025,0,1897.19141
0.062,0.031,158.632747,158.632747,0.05,0,1897.73931
0.062025,0.0310125,158.632792,158.632792,0.025,0,1900.53161
0.06205,0.031025,158.632926,158.632926,0.025,0,1901.08175
0.062075,0.0310375,158.633014,158.633014,0.025,0,1901.59567
0.0621,0.03105,158.633131,158.633131,0.025,0,1902.10921
0.062125,0.0310625,158.633109,158.633109,0.025,0,1902.62007
0.06215,0.031075,158.633259,158.633259,0.05,0,1903.16953
0.062175,0.0310875,158.633249,158.633249,0.025,0,1906.07055
0.0622,0.0311,158.633367,158.633367,0.025,0,1906.57611
0.062225,0.0311125,158.633416,158.633416,0.025,0,1907.1355
0.06225,0.031125,158.633461,158.633461,0.025,0,1907.70678
0.062275,0.0311375,158.633529,158.633529,0.025,0,1908.22274
0.0623,0.03115,158.633631,158.633631,0.05,0,1908.7509
0.062325,0.0311625,158.633702,158.633702,0.025,0,1911.559
0.06235,0.031175,158.633791,158.633791,0.025,0,1912.08696
0.062375,0.0311875,158.633774,158.633774,0.025,0,1912.66602
0.0624,0.0312,158.63393,158.63393,0.025,0,1913.25721
0.062425,0.0312125,158.633954,158.633954,0.025,0,1913.88341
0.06245,0.031225,158.634061,158.634061,0.05,0,1914.46996
0.062475,0.0312375,158.634174,158.634174,0.025,0,1917.46387
0.0625,0.03125,158.634165,158.634165,0.025,0,1918.05781
0.062525,0.0312625,158.634166,158.634166,0.025,0,1918.60228
0.06255,0.031275,158.634293,158.634293,0.025,0,1919.14106
0.062575,0.0312875,158.634377,158.634377,0.025,0,1919.70932
0.0626,0.0313,158.634443,158.634443,0.05,0,1920.23598
0.062625,0.0313125,158.634451,158.634451,0.025,0,1922.96188
0.06265,0.031325,158.634573,158.634573,0.025,0,1923.47211
0.062675,0.0313375,158.634747,158.634747,0.025,0,1924.02619
0.0627,0.03135,158.634726,158.634726,0.025,0,1924.46814
0.062725,0.0313625,158.634794,158.634794,0.025,0,1925.03114
0.06275,0.031375,158.634864,158.634864,0.05,0,1925.61991
0.062775,0.0313875,158.634983,158.634983,0.025,0,1928.45359
0.0628,0.0314,158.635096,158.635096,0.025,0,1928.98043
0.062825,0.0314125,158.635166,158.635166,0.025,0,1929.54541
0.06285,0.031425,158.635173,158.635173,0.025,0,1930.00694
0.062875,0.0314375,158.635259,158.635259,0.025,0,1930.53327
0.0629,0.03145,158.635275,158.635275,0.05,0,1931.11889
0.062925,0.0314625,158.635353,158.635353,0.025,0,1934.00893
0.06295,0.031475,158.635502,158.635502,0.025,0,1934.56576
0.062975,0.0314875,158.635489,158.635489,0.025,0,1935.1259
0.063,0.0315,158.635652,158.635652,0.025,0,1935.71042
0.063025,0.0315125,158.635629,158.635629,0.025,0,1936.26138
0.06305,0.031525,158.635702,158.635702,0.05,0,1936.78743
0.063075,0.0315375,158.635762,158.635762,0.025,0,1939.51448
0.0631,0.03155,158.635762,158.635762,0.025,0,1940.08378
0.063125,0.0315625,158.635957,158.635957,0.025,0,1940.54034
0.06315,0.031575,158.635971,158.635971,0.025,0,1941.11835
0.063175,0.0315875,158.636048,158.636048,0.025,0,1941.6418
0.0632,0.0316,158.63614,158.63614,0.05,0,1942.15636
0.063225,0.0316125,158.636077,158.636077,0.025,0,1944.97747
0.06325,0.031625,158.636286,158.636286,0.025,0,1945.5505
0.063275,0.0316375,158.636329,158.636329,0.025,0,1946.13449
0.0633,0.03165,158.636416,158.636416,0.025,0,1946.6466
0.063325,0.0316625,158.636462,158.636462,0.025,0,1947.17803
0.06335,0.031675,158.636581,158.636581,0.05,0,1947.7437
0.063375,0.0316875,158.636682,158.636682,0.025,0,1950.49177
0.0634,0.0317,158.63667,158.63667,0.025,0,1951.04324
0.063425,0.0317125,158.636789,158.636789,0.025,0,1951.63981
0.06345,0.031725,158.63681,158.63681,0.025,0,1952.18501
0.063475,0.0317375,158.63688,158.63688,0.025,0,1952.77641
0.0635,0.03175,158.637029,158.637029,0.05,0,1953.38857
0.063525,0.0317625,158.636991,158.636991,0.025,0,1956.38263
0.06355,0.031775,158.637132,158.637132,0.025,0,1956.97005
0.063575,0.0317875,158.637157,158.637157,0.025,0,1957.51586
0.0636,0.0318,158.637273,158.637273,0.025,0,1958.08523
0.063625,0.0318125,158.637294,158.637294,0.025,0,1958.67892
0.06365,0.031825,158.637443,158.637443,0.05,0,1959.18277
0.063675,0.0318375,158.637431,158.637431,0.025,0,1962.10113
0.0637,0.03185,158.637548,158.637548,0.025,0,1962.65443
0.063725,0.0318625,158.63757,158.63757,0.025,0,1963.24982
0.06375,0.031875,158.637705,158.637705,0.025,0,1963.73475
0.063775,0.0318875,158.637641,158.637641,0.025,0,1964.26974
0.0638,0.0319,158.637767,158.637767,0.05,0,1964.80595
0.063825,0.0319125,158.637892,158.637892,0.025,0,1967.73454
0.06385,0.031925,158.63791,158.63791,0.025,0,1968.25701
0.063875,0.0319375,158.637986,158.637986,0.025,0,1968.90704
0.0639,0.03195,158.638046,158.638046,0.025,0,1969.44695
0.063925,0.0319625,158.638207,158.638207,0.025,0,1970.0172
0.06395,0.031975,158.638231,158.638231,0.05,0,1970.54393
0.063975,0.0319875,158.638298,158.638298,0.025,0,1973.39368
0.064,0.032,158.638398,158.638398,0.025,0,1973.92604
0.064025,0.0320125,158.638379,158.638379,0.025,0,1974.399
0.06405,0.032025,158.638457,158.638457,0.025,0,1974.92108
0.064075,0.0320375,158.638529,158.638529,0.025,0,1975.37892
0.0641,0.03205,158.638667,158.638667,0.05,0,1975.87424
0.064125,0.0320625,158.638659,158.638659,0.025,0,1978.61763
0.06415,0.032075,158.638818,158.638818,0.025,0,1979.06412
0.064175,0.0320875,158.638801,158.638801,0.025,0,1979.63042
0.0642,0.0321,158.638797,158.638797,0.025,0,1980.13282
0.064225,0.0321125,158.638927,158.638927,0.025,0,1980.61561
0.06425,0.032125,158.638998,158.638998,0.05,0,1981.09296
0.064275,0.0321375,158.639064,158.639064,0.025,0,1983.60467
0.0643,0.03215,158.639131,158.639131,0.025,0,1984.15336
0.064325,0.0321625,158.639294,158.639294,0.025,0,1984.71623
0.06435,0.032175,158.639269,158.639269,0.025,0,1985.32255
0.064375,0.0321875,158.639343,158.639343,0.025,0,1985.8967
0.0644,0.0322,158.63933,158.63933,0.05,0,1986.35412
0.064425,0.0322125,158.639472,158.639472,0.025,0,1989.10187
0.06445,0.032225,158.639547,158.639547,0.025,0,1989.79387
0.064475,0.0322375,158.639607,158.639607,0.025,0,1990.36649
0.0645,0.03225,158.639682,158.639682,0.025,0,1990.94084
0.064525,0.0322625,158.639742,158.639742,0.025,0,1991.48782
0.06455,0.032275,158.639809,158.639809,0.05,0,1992.04539
0.064575,0.0322875,158.639924,158.639924,0.025,0,1994.77502
0.0646,0.0323,158.639978,158.639978,0.025,0,1995.2367
0.064625,0.0323125,158.640013,158.640013,0.025,0,1995.85684
0.06465,0.032325,158.640128,158.640128,0.025,0,1996.34107
0.064675,0.0323375,158.640144,158.640144,0.025,0,1996.89771
0.0647,0.03235,158.640213,158.640213,0.05,0,1997.47944
0.064725,0.0323625,158.64028,158.64028,0.025,0,2000.30492
0.06475,0.032375,158.640396,158.640396,0.025,0,2000.90744
0.064775,0.0323875,158.640439,158.640439,0.025,0,2001.47207
0.0648,0.0324,158.640483,158.640483,0.025,0,2002.00299
0.064825,0.0324125,158.640514,158.640514,0.025,0,2002.54258
0.06485,0.032425,158.64061,158.64061,0.05,0,2003.12244
0.064875,0.0324375,158.640687,158.640687,0.025,0,2006.0957
0.0649,0.03245,158.640751,158.640751,0.025,0,2006.63677
0.064925,0.0324625,158.64075,158.64075,0.025,0,2007.22166
0.06495,0.032475,158.640885,158.640885,0.025,0,2007.80626
0.064975,0.0324875,158.641031,158.641031,0.025,0,2008.37585
0.065,0.0325,158.641019,158.641019,0.05,0,2008.96732
0.065025,0.0325125,158.641087,158.641087,0.025,0,2011.82041
0.06505,0.032525,158.641246,158.641246,0.025,0,2012.35978
0.065075,0.0325375,158.641223,158.641223,0.025,0,2012.89206
0.0651,0.03255,158.641314,158.641314,0.025,0,2013.42099
