s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.00876,0.00438,81.1279355,81.1279355,0.02,0,278.899956
0.00878,0.00439,81.214304,81.214304,0.02,0,279.186682
0.0088,0.0044,81.30064,81.30064,0.02,0,279.435255
0.00882,0.00441,81.3867449,81.3867449,0.02,0,280.006006
0.00884,0.00442,81.5084642,81.5084642,0.04,1,283.232481
0.00886,0.00443,81.5854494,81.5854494,0.02,1,291.474178
0.00888,0.00444,81.6721266,81.6721266,0.02,1,294.842848
0.0089,0.00445,81.770989,81.770989,0.02,1,298.286712
0.00891,0.004455,81.7764809,81.7764809,0.01,1,306.779488
0.00892,0.00446,81.8785071,81.8785071,0.01,1,310.091398
