s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.1189,0.1189,6749.20926,1687.30231,2.64684276,0.1,10961.1434
0.119,0.119,6751.18904,1687.79726,2.64761917,0.1,10977.2734
0.1191,0.1191,6753.16374,1688.29093,2.64839359,0.1,10995.5398
0.1192,0.1192,6755.13399,1688.7835,2.64916627,0.1,11016.6085
0.1193,0.1193,6757.09843,1689.27461,2.64993666,0.2,11040.0686
0.1194,0.1194,6759.05866,1689.76466,2.65070541,0.1,11100.1406
0.1195,0.1195,6761.01672,1690.25418,2.6514733,0.1,11118.3046
0.1196,0.1196,6762.97185,1690.74296,2.65224005,0.1,11135.3442
0.1197,0.1197,6764.92343,1691.23086,2.6530054,0.1,11157.2184
0.1198,0.1198,6766.87254,1691.71814,2.65376978,0.2,11174.3957
0.1199,0.1199,6768.81928,1692.20482,2.65453324,0.1,11233.7446
0.12,0.12,6770.76236,1692.69059,2.65529526,0.1,11250.8525
0.1201,0.1201,6772.70142,1693.17536,2.6560557,0.1,11267.8058
0.1202,0.1202,6774.63942,1693.65986,2.65681573,0.1,11293.2581
0.1203,0.1203,6776.57426,1694.14356,2.65757451,0.2,11315.4842
0.12035,0.12035,6777.54119,1694.3853,2.65795371,0.05,11404.8544
0.1204,0.1204,6778.50709,1694.62677,2.65833251,0.05,11425.2142
0.12045,0.12045,6779.47261,1694.86815,2.65871116,0.05,11445.4873
