s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.0349,0.0349,10690.6391,2672.65977,0.025,3628.95285
0.034925,0.034925,10696.8207,2674.20517,0.025,3633.2972
0.03495,0.03495,10702.999,2675.74974,0.05,3637.61846
0.035,0.035,10710.2264,2677.5566,0.05,3650.41425
0.03505,0.03505,10722.6417,2680.66043,0.05,3655.07972
0.0351,0.0351,10734.9821,2683.74554,0.05,3658.95273
0.03515,0.03515,10747.3148,2686.8287,0.05,3663.57028
0.0352,0.0352,10759.516,2689.87901,0.05,3667.87594
0.03525,0.03525,10771.6345,2692.90863,0.1,3671.99414
0.0353,0.0353,10783.5767,2695.89418,0.05,3696.55407
0.03535,0.03535,10795.4563,2698.86406,0.05,3702.79255
0.0354,0.0354,10807.6253,2701.90633,0.05,3707.96638
0.035425,0.035425,10814.372,2703.59299,0.025,3730.80235
0.03545,0.03545,10819.9044,2704.97611,0.025,3734.63484
0.035475,0.035475,10826.0643,2706.51608,0.025,3739.31375
0.0355,0.0355,10832.2205,2708.05513,0.025,3743.29634
0.035525,0.035525,10838.3725,2709.59314,0.025,3747.88775
0.03555,0.03555,10844.5206,2711.13016,0.05,3751.56026
0.0356,0.0356,10851.6199,2712.90499,0.05,3764.37566
0.03565,0.03565,10864.1882,2716.04704,0.05,3768.59497
0.0357,0.0357,10876.4507,2719.11267,0.05,3774.28388
0.03575,0.03575,10888.6608,2722.16519,0.05,3779.14019
0.0358,0.0358,10900.7748,2725.19371,0.05,3783.56042
0.03585,0.03585,10912.8638,2728.21596,0.1,3788.18376
0.0359,0.0359,10924.6249,2731.15622,0.05,3814.8142
0.03595,0.03595,10936.5874,2734.14685,0.05,3818.58316
0.036,0.036,10947.5051,2736.87628,0.05,3826.78692
0.03605,0.03605,10959.7851,2739.94628,0.05,3830.71352
0.036075,0.036075,10966.5132,2741.62831,0.025,3847.56347
0.0361,0.0361,10972.0576,2743.0144,0.025,3851.19342
0.036125,0.036125,10978.186,2744.54651,0.025,3854.91053
0.03615,0.03615,10984.3095,2746.07738,0.025,3859.43724
0.036175,0.036175,10990.4279,2747.60698,0.025,3862.91438
0.0362,0.0362,10996.5416,2749.13541,0.05,3866.68567
0.03625,0.03625,11003.5166,2750.87915,0.05,3877.73414
0.0363,0.0363,11015.9067,2753.97667,0.05,3881.03313
0.03635,0.03635,11028.0843,2757.02109,0.05,3885.6452
0.0364,0.0364,11040.2269,2760.05672,0.05,3889.10489
0.03645,0.03645,11052.4312,2763.10779,0.05,3892.81327
0.0365,0.0365,11064.4303,2766.10758,0.1,3898.04291
0.03655,0.03655,11076.5395,2769.13488,0.05,3918.77163
0.0366,0.0366,11088.4245,2772.10612,0.05,3922.94325
0.03665,0.03665,11100.0784,2775.01959,0.05,3928.81263
0.0367,0.0367,11112.0435,2778.01089,0.05,3935.5636
0.036725,0.036725,11118.5499,2779.63747,0.025,3953.58845
0.03675,0.03675,11124,2781,0.025,3957.97871
0.036775,0.036775,11130.0808,2782.5202,0.025,3961.68858
