# ladrunoBranch census, one row per sampling station.
# station = the existing --cond/--cond-at trigger cadence (every 4 converged steps once ds < 5 mm) UNIONED with --dense stations every 5e-06 of s/B in [0.0108, 0.0113].
# s_min_rel/cond/lam_min_sym_rel are NaN unless --cond is also given (or the station coincides with one --cond already sampled).
# n_gp_seen/n_gp_empty: GPs with/without a live ladrunoBranch response this station (all empty until the C++ token ships).
# n_branch{0,1,2,3} = elastic/f1 cone/f2 tension cutoff/corner GP counts; n_forced = forcedAccept count.
# lowdetK_*: the K-th lowest detAmin GP (ele tag, GP index, value, centroid x, z -- an approximate GP location).
# cornerK_*: the K-th corner-branch GP encountered this station (first 5, ele tag, GP index, centroid x, z).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
0.0152,133.784117,0.0014697887,6412.16452,-0.0108642961,1600,0,1460,140,0,0,0,-0.0714042704,114,-230.058462,1.22081804e-06,0,68,7,-0.0714042704,-4.09252017,-2.5,68,5,-0.0714035115,-4.09252017,-2.5,138,1,-0.0708547288,4.09252017,-2.5,138,3,-0.0708546252,4.09252017,-2.5,67,3,-0.0575430386,-4.09252017,-3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0172,138.062339,0.00136276075,6945.32687,-0.00506537664,1600,0,1372,228,0,0,0,-0.0750394061,191,-238.810595,2.28833725e-06,0,79,5,-0.0750394061,-2.63853418,-1.5,79,7,-0.0750358384,-2.63853418,-1.5,68,5,-0.0695905283,-4.09252017,-2.5,68,7,-0.0695899531,-4.09252017,-2.5,78,1,-0.066485333,-2.63853418,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0192,141.676756,0.00143703059,6576.32402,-0.0121294307,1600,0,1395,205,0,0,0,-0.0682682524,157,-245.938768,2.1904981e-06,0,68,5,-0.0682682524,-4.09252017,-2.5,68,7,-0.0682682048,-4.09252017,-2.5,75,3,-0.0633343652,-2.63853418,-6.11983775,75,1,-0.0633342847,-2.63853418,-6.11983775,74,2,-0.0630616425,-2.63853418,-8.02157615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0212,144.420747,0.00145246528,6500.63215,-0.00708965485,1600,0,1408,192,0,0,0,-0.075544582,154,-251.448118,4.50084662e-07,0,79,7,-0.075544582,-2.63853418,-1.5,68,5,-0.0689967278,-4.09252017,-2.5,68,7,-0.0689966713,-4.09252017,-2.5,138,1,-0.0684715856,4.09252017,-2.5,138,3,-0.0684713335,4.09252017,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0232,146.490757,0.00125755373,7594.37453,-0.0389900623,1600,0,1204,396,0,0,0,-0.0695383145,344,-255.55811,9.58857997e-07,0,138,3,-0.0695383145,4.09252017,-2.5,138,1,-0.069536192,4.09252017,-2.5,117,8,-0.0680421684,1.5,-3.5,117,6,-0.0680416933,1.5,-3.5,117,5,-0.0665166292,1.5,-3.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0242,147.247977,0.00146060394,6464.38656,0.00129499581,1600,0,1424,176,0,0,0,-0.0679857155,141,-257.001493,2.6231088e-08,0,117,6,-0.0679857155,1.5,-3.5,117,8,-0.0679857144,1.5,-3.5,117,5,-0.066664335,1.5,-3.5,117,7,-0.0666643261,1.5,-3.5,109,8,-0.0653131933,0.5,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.02545,147.908528,0.00146524167,6471.14785,-0.00264661823,1600,0,1326,274,0,0,0,-0.0752499144,208,-258.211728,3.20914642e-08,0,79,7,-0.0752499144,-2.63853418,-1.5,79,5,-0.0752498084,-2.63853418,-1.5,129,1,-0.0747248902,2.63853418,-1.5,129,3,-0.0747248576,2.63853418,-1.5,140,2,-0.0683507064,4.09252017,-0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.02645,148.297372,0.00117776606,8091.97685,-0.0373263751,1600,0,1172,428,0,0,0,-0.0746564965,374,-258.94258,2.4788819e-08,0,129,3,-0.0746564965,2.63853418,-1.5,129,1,-0.0746564414,2.63853418,-1.5,68,5,-0.0725991951,-4.09252017,-2.5,68,7,-0.0725991314,-4.09252017,-2.5,86,4,-0.0693214362,-1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.02745,148.628514,0.00117071794,8148.93263,-0.0353184581,1600,0,1154,446,0,0,0,-0.0751227556,392,-259.573306,2.59060729e-08,0,79,7,-0.0751227556,-2.63853418,-1.5,79,5,-0.0751227001,-2.63853418,-1.5,129,1,-0.0746046847,2.63853418,-1.5,129,3,-0.0746046149,2.63853418,-1.5,138,3,-0.0725405254,4.09252017,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.02845,148.916547,0.00133927748,7089.16924,-0.0175991163,1600,0,1260,340,0,0,0,-0.073446172,294,-260.114511,7.62668924e-08,0,68,7,-0.073446172,-4.09252017,-2.5,68,5,-0.0734460556,-4.09252017,-2.5,138,3,-0.0729180532,4.09252017,-2.5,138,1,-0.0729180161,4.09252017,-2.5,86,4,-0.0695451889,-1.5,-4.64451687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
