s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.24605,0.24605,12048.4238,3012.10594,4.72503992,0.1,28932.4896
0.24615,0.24615,12051.2229,3012.80572,4.72613765,0.1,28950.7105
0.24625,0.24625,12054.0224,3013.50559,4.72723553,0.1,28966.3813
0.24635,0.24635,12056.821,3014.20525,4.72833307,0.1,28982.195
0.24645,0.24645,12059.6198,3014.90495,4.72943069,0.2,28997.9118
0.24665,0.24665,12065.2103,3016.30258,4.73162313,0.2,29013.7424
0.24675,0.24675,12068.0086,3017.00215,4.73272052,0.1,29051.1653
0.24685,0.24685,12070.8076,3017.70191,4.73381822,0.1,29068.3021
0.24695,0.24695,12073.6068,3018.4017,4.73491598,0.1,29083.0912
0.24705,0.24705,12076.4043,3019.10109,4.73601309,0.1,29099.3888
0.24715,0.24715,12079.2027,3019.80067,4.73711052,0.2,29114.6107
0.24725,0.24725,12082.0013,3020.50032,4.73820804,0.1,29154.5373
0.24735,0.24735,12084.7986,3021.19966,4.73930509,0.1,29172.3154
0.24745,0.24745,12087.5965,3021.89913,4.74040233,0.1,29187.4961
0.24755,0.24755,12090.3952,3022.59881,4.74149991,0.1,29202.4583
0.24765,0.24765,12093.1929,3023.29822,4.74259706,0.2,29217.4288
0.24785,0.24785,12098.7851,3024.69628,4.74479017,0.2,29233.4848
0.24795,0.24795,12101.5849,3025.39621,4.74588815,0.1,29271.6747
0.24805,0.24805,12104.3839,3026.09598,4.74698587,0.1,29285.0775
0.24815,0.24815,12107.1832,3026.79581,4.74808368,0.1,29302.7177
0.24825,0.24825,12109.9808,3027.4952,4.7491808,0.1,29316.5846
0.24835,0.24835,12112.7768,3028.1942,4.75027731,0.2,29332.3607
0.24845,0.24845,12115.5725,3028.89313,4.7513737,0.1,29358.5126
0.24855,0.24855,12118.3683,3029.59208,4.75247013,0.1,29371.5778
0.24865,0.24865,12121.1645,3030.29112,4.75356671,0.1,29386.568
0.24875,0.24875,12123.9605,3030.99013,4.75466324,0.1,29401.4088
0.24885,0.24885,12126.7566,3031.68916,4.75575978,0.2,29416.3828
0.24895,0.24895,12129.5525,3032.38813,4.75685626,0.1,29456.2947
