s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.2651,0.2651,12578.1746,3144.54364,4.93279272,0.1,32309.3326
0.2652,0.2652,12580.9371,3145.23428,4.93387612,0.2,32324.1726
0.2653,0.2653,12583.7002,3145.92504,4.9349597,0.1,32385.6709
0.2654,0.2654,12586.4627,3146.61568,4.93604309,0.1,32400.7797
0.2655,0.2655,12589.2258,3147.30646,4.9371267,0.1,32415.5046
0.2656,0.2656,12591.9902,3147.99755,4.93821081,0.1,32433.2059
0.2657,0.2657,12594.7538,3148.68846,4.93929463,0.2,32449.1597
0.2658,0.2658,12597.5173,3149.37933,4.94037839,0.1,32473.0056
0.2659,0.2659,12600.2819,3150.07047,4.94146255,0.1,32487.8334
0.266,0.266,12603.0454,3150.76136,4.94254634,0.1,32501.489
0.2661,0.2661,12605.8091,3151.45227,4.94363017,0.1,32517.6514
0.2662,0.2662,12608.5715,3152.14289,4.94471352,0.2,32530.5991
0.2663,0.2663,12611.3354,3152.83385,4.94579742,0.1,32596.6115
0.2664,0.2664,12614.0988,3153.52469,4.94688114,0.1,32613.7527
0.2665,0.2665,12616.862,3154.21549,4.94796478,0.1,32628.1345
