s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.0533,0.0533,4654.09488,1163.52372,1.82520009,0.2,3782.22231
0.0535,0.0535,4663.69469,1165.92367,1.82896485,0.2,3793.41326
0.0537,0.0537,4673.25664,1168.31416,1.83271477,0.2,3806.2796
0.0539,0.0539,4682.78424,1170.69606,1.83645122,0.4,3819.27673
0.0543,0.0543,4701.73202,1175.433,1.84388198,0.4,3842.08852
0.0547,0.0547,4720.58469,1180.14617,1.85127545,0.4,3866.17715
0.0551,0.0551,4739.34131,1184.83533,1.85863125,0.4,3885.63327
0.0552,0.0552,4744.02569,1186.00642,1.86046833,0.1,3944.9414
0.0553,0.0553,4748.70536,1187.17634,1.86230356,0.1,3953.80897
0.0554,0.0554,4753.37454,1188.34364,1.86413467,0.1,3964.99992
0.0555,0.0555,4758.03755,1189.50939,1.86596337,0.1,3974.72514
0.0556,0.0556,4762.69538,1190.67384,1.86779003,0.2,3985.76638
0.0558,0.0558,4771.96818,1192.99204,1.87142655,0.2,4001.15994
0.0559,0.0559,4776.59482,1194.14871,1.87324099,0.1,4031.66359
0.056,0.056,4781.20504,1195.30126,1.87504898,0.1,4041.43624
0.0561,0.0561,4785.81089,1196.45272,1.87685526,0.1,4050.147
0.0562,0.0562,4790.41148,1197.60287,1.87865948,0.1,4059.54597
0.0563,0.0563,4795.00696,1198.75174,1.88046169,0.2,4069.4546
0.0565,0.0565,4804.17223,1201.04306,1.88405604,0.2,4079.99407
0.0566,0.0566,4808.75122,1202.1878,1.88585179,0.1,4109.19632
0.0567,0.0567,4813.3264,1203.3316,1.88764604,0.1,4116.932
0.0568,0.0568,4817.89675,1204.47419,1.8894384,0.1,4125.8194
0.0569,0.0569,4822.46278,1205.61569,1.89122906,0.1,4135.18189
0.057,0.057,4827.02177,1206.75544,1.89301696,0.2,4142.26436
0.0571,0.0571,4831.57366,1207.89341,1.89480208,0.1,4174.40144
0.0572,0.0572,4836.11983,1209.02996,1.89658496,0.1,4186.03521
0.0573,0.0573,4840.66142,1210.16536,1.89836604,0.1,4195.27165
0.0574,0.0574,4845.19745,1211.29936,1.90014493,0.1,4203.73966
0.0575,0.0575,4849.72736,1212.43184,1.90192143,0.2,4213.01404
0.0576,0.0576,4854.25254,1213.56313,1.90369608,0.1,4246.00697
0.0577,0.0577,4858.76879,1214.6922,1.90546722,0.1,4256.29415
0.0578,0.0578,4863.2826,1215.82065,1.9072374,0.1,4265.8795
0.0579,0.0579,4867.79271,1216.94818,1.90900614,0.1,4276.26067
0.058,0.058,4872.29831,1218.07458,1.9107731,0.2,4285.59615
0.0582,0.0582,4881.28441,1220.3211,1.91429719,0.2,4298.01442
0.0583,0.0583,4885.77422,1221.44356,1.91605796,0.1,4332.07151
0.0584,0.0584,4890.25863,1222.56466,1.91781662,0.1,4342.75668
0.0585,0.0585,4894.73965,1223.68491,1.91957394,0.1,4354.37484
0.0586,0.0586,4899.21775,1224.80444,1.92133012,0.1,4369.16774
0.0587,0.0587,4903.68828,1225.92207,1.92308333,0.2,4380.37885
0.0589,0.0589,4912.60888,1228.15222,1.92658173,0.2,4393.79662
0.059,0.059,4917.06419,1229.26605,1.92832897,0.1,4429.87949
0.0591,0.0591,4921.51447,1230.37862,1.93007424,0.1,4439.43468
0.0592,0.0592,4925.95358,1231.4884,1.93181513,0.1,4447.6624
0.0593,0.0593,4930.38014,1232.59504,1.9335511,0.1,4458.1554
0.0594,0.0594,4934.79514,1233.69878,1.93528253,0.2,4470.94076
0.0595,0.0595,4939.20488,1234.80122,1.9370119,0.1,4512.1127
0.0596,0.0596,4943.60951,1235.90238,1.93873927,0.1,4524.33852
0.0597,0.0597,4948.00979,1237.00245,1.94046493,0.1,4538.64679
0.0598,0.0598,4952.40496,1238.10124,1.94218859,0.1,4550.61973
0.0599,0.0599,4956.79471,1239.19868,1.94391012,0.2,4559.19713
0.0601,0.0601,4965.5532,1241.3883,1.94734495,0.2,4572.72668
0.0603,0.0603,4974.27864,1243.56966,1.95076681,0.2,4586.63977
0.0605,0.0605,4982.97695,1245.74424,1.95417803,0.2,4600.85379
0.0606,0.0606,4987.32271,1246.83068,1.95588231,0.1,4648.27693
0.0607,0.0607,4991.66035,1247.91509,1.95758341,0.1,4659.79607
0.0608,0.0608,4995.98394,1248.99598,1.95927899,0.1,4671.17487
0.0609,0.0609,5000.30406,1250.07602,1.96097322,0.1,4684.77945
0.061,0.061,5004.62182,1251.15545,1.96266652,0.2,4696.85163
0.0612,0.0612,5013.23156,1253.30789,1.966043,0.2,4708.95513
0.0614,0.0614,5021.8062,1255.45155,1.96940573,0.2,4721.55275
0.0616,0.0616,5030.35676,1257.58919,1.97275901,0.2,4732.99207
0.0618,0.0618,5038.88522,1259.7213,1.97610362,0.2,4742.97377
0.062,0.062,5047.38703,1261.84676,1.97943778,0.4,4754.12902
