s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.08185,0.08185,6072.33191,1518.08298,2.38139123,0.4,2911.47164
0.08205,0.08205,6080.04364,1520.01091,2.38441555,0.2,2942.20875
0.08225,0.08225,6087.74089,1521.93522,2.38743419,0.2,2948.91458
0.08245,0.08245,6095.41982,1523.85496,2.39044564,0.2,2957.16346
0.08265,0.08265,6103.0779,1525.76948,2.39344891,0.2,2964.22298
0.08285,0.08285,6110.72074,1527.68018,2.39644621,0.4,2971.36414
0.08305,0.08305,6118.35428,1529.58857,2.39943986,0.2,2995.93947
0.08325,0.08325,6125.96097,1531.49024,2.40242298,0.2,3005.24809
0.08345,0.08345,6133.52855,1533.38214,2.40539077,0.2,3014.94439
0.08365,0.08365,6141.07404,1535.26851,2.40834989,0.2,3022.48325
0.08385,0.08385,6148.60846,1537.15211,2.41130467,0.4,3030.53463
0.08405,0.08405,6156.12811,1539.03203,2.41425365,0.2,3057.09442
0.08425,0.08425,6163.63691,1540.90923,2.41719839,0.2,3064.12982
0.08445,0.08445,6171.12919,1542.7823,2.42013664,0.2,3071.81583
0.08465,0.08465,6178.61357,1544.65339,2.4230718,0.2,3078.98638
0.08485,0.08485,6186.08439,1546.5211,2.42600163,0.4,3086.04168
0.08505,0.08505,6193.54415,1548.38604,2.42892713,0.2,3111.46893
0.08525,0.08525,6200.97961,1550.2449,2.4318431,0.2,3117.94357
0.08545,0.08545,6208.3636,1552.0909,2.43473889,0.2,3123.88435
0.08565,0.08565,6215.73726,1553.93431,2.43763062,0.2,3129.23139
0.08585,0.08585,6223.10086,1555.77522,2.44051841,0.4,3136.56427
0.08605,0.08605,6230.45388,1557.61347,2.44340205,0.2,3161.9313
0.08625,0.08625,6237.79752,1559.44938,2.44628201,0.2,3168.0551
0.08645,0.08645,6245.13104,1561.28276,2.449158,0.2,3174.38014
0.08665,0.08665,6252.45677,1563.11419,2.45203094,0.2,3180.11944
0.08685,0.08685,6259.77197,1564.94299,2.45489975,0.4,3186.59795
0.08705,0.08705,6267.07506,1566.76876,2.45776381,0.2,3213.08822
0.08725,0.08725,6274.36532,1568.59133,2.46062284,0.2,3220.16983
0.08745,0.08745,6281.64177,1570.41044,2.46347645,0.2,3226.64448
0.08765,0.08765,6288.90966,1572.22741,2.4663267,0.2,3233.19913
0.08785,0.08785,6296.15781,1574.03945,2.46916921,0.4,3240.76037
0.08805,0.08805,6303.38836,1575.84709,2.47200482,0.2,3267.06784
0.08825,0.08825,6310.59525,1577.64881,2.47483116,0.2,3274.68955
0.08845,0.08845,6317.75727,1579.43932,2.47763989,0.2,3282.37214
0.08865,0.08865,6324.9117,1581.22793,2.48044565,0.2,3288.35174
0.08885,0.08885,6332.05237,1583.01309,2.48324601,0.4,3294.74057
0.08905,0.08905,6339.18119,1584.7953,2.48604173,0.2,3324.94598
0.08925,0.08925,6346.29232,1586.57308,2.4888305,0.2,3332.0598
0.08945,0.08945,6353.388,1588.347,2.49161322,0.2,3340.63669
0.08965,0.08965,6360.46787,1590.11697,2.49438974,0.2,3348.71289
0.08985,0.08985,6367.52873,1591.88218,2.4971588,0.4,3356.23372
0.09005,0.09005,6374.56066,1593.64017,2.49991652,0.2,3382.44197
0.09025,0.09025,6381.58324,1595.39581,2.50267057,0.2,3390.62063
0.09045,0.09045,6388.59535,1597.14884,2.50542052,0.2,3398.35761
0.09065,0.09065,6395.60091,1598.90023,2.50816789,0.2,3405.91938
0.09085,0.09085,6402.59296,1600.64824,2.51090997,0.4,3412.94427
0.09105,0.09105,6409.57059,1602.39265,2.51364639,0.2,3438.10862
0.09125,0.09125,6416.53727,1604.13432,2.51637852,0.2,3445.27166
0.09145,0.09145,6423.49059,1605.87265,2.51910541,0.2,3451.51895
0.09165,0.09165,6430.43245,1607.60811,2.52182781,0.2,3458.17309
0.09185,0.09185,6437.35748,1609.33937,2.5245436,0.4,3465.39996
0.09205,0.09205,6444.26368,1611.06592,2.52725201,0.2,3491.14981
0.09225,0.09225,6451.15724,1612.78931,2.52995546,0.2,3498.2892
0.09245,0.09245,6458.03999,1614.51,2.53265467,0.2,3504.2102
0.09265,0.09265,6464.90061,1616.22515,2.53534521,0.2,3511.77878
0.09285,0.09285,6471.74878,1617.93719,2.53803086,0.4,3518.87729
0.09305,0.09305,6478.59062,1619.64766,2.54071403,0.2,3543.86217
0.09325,0.09325,6485.4198,1621.35495,2.54339224,0.2,3551.60346
0.09345,0.09345,6492.23458,1623.05865,2.5460648,0.2,3559.28527
0.09365,0.09365,6499.00114,1624.75029,2.54871844,0.2,3567.00856
0.09385,0.09385,6505.73003,1626.43251,2.55135732,0.4,3573.50888
