# ADR90 WP-A2 tau=0 band, build afb95c40c9e3da1cc97d6aabe8168644c53d0e82 (expected afb95c40c9e3da1cc97d6aabe8168644c53d0e82), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
0.04724,0.02362,569.284683,-569.275001,0.64,0,62.0281754,3.41512082e-05,3482
0.04756,0.02378,572.95014,-572.936049,0.32,0,62.7105794,3.47518503e-05,3626
0.04788,0.02394,576.612479,-576.598718,0.32,0,63.0305955,3.32087042e-05,3626
0.0482,0.0241,580.276511,-580.262351,0.32,0,63.341301,3.39785755e-05,3626
0.04852,0.02426,583.93723,-583.921002,0.32,0,63.652683,3.46847887e-05,3626
0.04884,0.02442,587.598171,-587.586045,0.32,0,63.9687457,3.45349439e-05,3626
0.04916,0.02458,591.255661,-591.245299,0.64,0,64.2654667,3.34231341e-05,3626
0.04948,0.02474,594.922859,-594.908759,0.32,0,64.9195833,3.20767926e-05,3770
0.0498,0.0249,598.569878,-598.563789,0.32,0,65.2198534,3.62447573e-05,3770
0.05012,0.02506,602.237359,-602.2192,0.32,0,65.5276074,3.44309996e-05,3770
0.05044,0.02522,605.886006,-605.879096,0.32,0,65.8288555,3.35668518e-05,3770
0.05076,0.02538,609.546916,-609.537105,0.32,0,66.1328752,3.42962946e-05,3770
0.05108,0.02554,613.203616,-613.195589,0.64,0,66.4340005,3.35540944e-05,3770
0.0514,0.0257,616.859802,-616.849199,0.32,0,67.0653009,3.32489962e-05,3914
0.05172,0.02586,620.525036,-620.499516,0.32,0,67.368082,3.25709342e-05,3914
0.05204,0.02602,624.186875,-624.157814,0.32,0,67.6883807,3.15589286e-05,3914
0.05236,0.02618,627.822921,-627.812298,0.32,0,67.994065,3.33375478e-05,3914
0.05268,0.02634,631.468266,-631.463141,0.32,0,68.2981164,3.46310859e-05,3914
0.053,0.0265,635.116652,-635.108617,0.64,0,68.6040785,3.2812147e-05,3914
0.05332,0.02666,638.770848,-638.76288,0.32,0,69.245239,3.45159554e-05,4058
0.05364,0.02682,642.420504,-642.414492,0.32,0,69.5496204,3.27293298e-05,4058
0.05396,0.02698,646.068972,-646.063896,0.32,0,69.8559113,3.32051519e-05,4058
0.05428,0.02714,649.732898,-649.705571,0.32,0,70.1767802,3.3272456e-05,4058
0.0546,0.0273,653.364495,-653.357165,0.32,0,70.4769595,3.21952684e-05,4058
0.05492,0.02746,657.024411,-657.000721,0.64,0,70.779057,3.19181423e-05,4058
0.05524,0.02762,660.672326,-660.642389,0.32,0,71.4463305,3.47250319e-05,4202
0.05556,0.02778,664.296654,-664.288616,0.32,0,71.7680836,3.39534953e-05,4202
0.05588,0.02794,667.962685,-667.929996,0.32,0,72.0704386,3.29125172e-05,4202
0.0562,0.0281,671.587235,-671.57118,0.32,0,72.3774712,3.53185375e-05,4202
0.05652,0.02826,675.247637,-675.210654,0.32,0,72.6918674,3.19430093e-05,4202
0.05684,0.02842,678.87512,-678.850305,0.64,0,73.0073473,3.60857219e-05,4202
0.05716,0.02858,682.529458,-682.491787,0.32,0,73.6585898,3.10821769e-05,4346
0.05748,0.02874,686.154969,-686.132106,0.32,0,73.9843829,3.38977026e-05,4346
0.0578,0.0289,689.799921,-689.773289,0.32,0,74.3160679,3.14836813e-05,4346
0.05812,0.02906,693.431194,-693.413548,0.32,0,74.6422253,3.03458816e-05,4346
0.05844,0.02922,697.079655,-697.053259,0.32,0,74.9632528,3.17779166e-05,4346
0.05876,0.02938,700.710246,-700.693025,0.64,0,75.2663062,3.32503284e-05,4346
0.05908,0.02954,704.372384,-704.32659,0.32,0,75.9505184,3.1730115e-05,4490
