ele,gp,x,z,dx,p,q,eta,psi,Mb,Md,eta_over_Md,err,err_dev,err_vol,f
5,2,-9.95139,-6.71019,9.20139,47.2055,39.8075,0.843279,-0.116846,2.00334,0.679764,1.24055,4.24065e-05,4.2222e-05,3.9519e-06,1
5,3,-9.95139,-6.71019,9.20139,47.2056,39.8289,0.843733,-0.116846,2.00334,0.679764,1.24121,3.28561e-05,3.27168e-05,3.02232e-06,1
5,4,-9.95139,-6.71019,9.20139,47.2055,39.8075,0.843279,-0.116846,2.00334,0.679764,1.24055,4.24065e-05,4.2222e-05,3.9519e-06,1
5,5,-9.95139,-6.71019,9.20139,47.2055,39.827,0.843694,-0.116846,2.00334,0.679764,1.24116,4.96965e-05,4.95035e-05,4.37535e-06,1
5,6,-9.95139,-6.71019,9.20139,47.2055,39.8057,0.843242,-0.116846,2.00334,0.679764,1.24049,6.02029e-05,5.99605e-05,5.39777e-06,1
5,7,-9.95139,-6.71019,9.20139,47.2055,39.827,0.843694,-0.116846,2.00334,0.679764,1.24116,4.96965e-05,4.95035e-05,4.37535e-06,1
5,8,-9.95139,-6.71019,9.20139,47.2055,39.8057,0.843242,-0.116846,2.00334,0.679764,1.24049,6.02029e-05,5.99605e-05,5.39777e-06,1
6,1,-9.95139,-5.49834,9.20139,39.595,33.2484,0.839713,-0.118237,2.01312,0.674349,1.24522,9.64898e-05,9.60709e-05,8.98052e-06,1
6,2,-9.95139,-5.49834,9.20139,39.595,33.2436,0.839591,-0.118237,2.01312,0.674349,1.24504,0.000102203,0.000101757,9.53511e-06,1
6,3,-9.95139,-5.49834,9.20139,39.595,33.2484,0.839713,-0.118237,2.01312,0.674349,1.24522,9.64898e-05,9.60709e-05,8.98052e-06,1
6,4,-9.95139,-5.49834,9.20139,39.595,33.2436,0.839591,-0.118237,2.01312,0.674349,1.24504,0.000102203,0.000101757,9.53511e-06,1
6,5,-9.95139,-5.49834,9.20139,39.595,33.2781,0.84046,-0.118237,2.01312,0.674349,1.24633,9.42237e-05,9.38206e-05,8.70656e-06,1
6,6,-9.95139,-5.49834,9.20139,39.595,33.2732,0.840338,-0.118237,2.01312,0.674349,1.24615,0.000100252,9.98205e-05,9.28884e-06,1
6,7,-9.95139,-5.49834,9.20139,39.595,33.2781,0.84046,-0.118237,2.01312,0.674349,1.24633,9.42237e-05,9.38206e-05,8.70656e-06,1
6,8,-9.95139,-5.49834,9.20139,39.595,33.2732,0.840338,-0.118237,2.01312,0.674349,1.24615,0.000100252,9.98205e-05,9.28884e-06,1
7,1,-9.95139,-4.55522,9.20139,33.6495,28.1915,0.8378,-0.119435,2.02158,0.669719,1.25097,0.000145194,0.000144569,1.34565e-05,1
7,2,-9.95139,-4.55522,9.20139,33.6495,28.1943,0.837882,-0.119435,2.02158,0.669719,1.25109,0.000149418,0.000148773,1.38675e-05,1
7,3,-9.95139,-4.55522,9.20139,33.6495,28.1915,0.8378,-0.119435,2.02158,0.669719,1.25097,0.000145194,0.000144569,1.34565e-05,1
7,4,-9.95139,-4.55522,9.20139,33.6495,28.1943,0.837882,-0.119435,2.02158,0.669719,1.25109,0.000149418,0.000148773,1.38675e-05,1
7,5,-9.95139,-4.55522,9.20139,33.6495,28.1928,0.837839,-0.119435,2.02158,0.669719,1.25103,0.000132512,0.000131938,1.23264e-05,1
7,6,-9.95139,-4.55522,9.20139,33.6495,28.1955,0.837919,-0.119435,2.02158,0.669719,1.25115,0.000136218,0.000135623,1.27115e-05,1
7,7,-9.95139,-4.55522,9.20139,33.6495,28.1928,0.837839,-0.119435,2.02158,0.669719,1.25103,0.000132512,0.000131938,1.23264e-05,1
7,8,-9.95139,-4.55522,9.20139,33.6495,28.1955,0.837919,-0.119435,2.02158,0.669719,1.25115,0.000136218,0.000135623,1.27115e-05,1
8,1,-9.95139,-3.82123,9.20139,29.0144,24.2809,0.836858,-0.120456,2.02882,0.665799,1.25692,0.00017638,0.000175621,1.63532e-05,1
8,2,-9.95139,-3.82123,9.20139,29.0144,24.2881,0.837104,-0.120456,2.02882,0.665799,1.25729,0.000176694,0.000175928,1.64346e-05,1
8,3,-9.95139,-3.82123,9.20139,29.0144,24.2809,0.836858,-0.120456,2.02882,0.665799,1.25692,0.00017638,0.000175621,1.63532e-05,1
8,4,-9.95139,-3.82123,9.20139,29.0144,24.2881,0.837104,-0.120456,2.02882,0.665799,1.25729,0.000176694,0.000175928,1.64346e-05,1
8,5,-9.95139,-3.82123,9.20139,29.0144,24.2687,0.836436,-0.120456,2.02882,0.665798,1.25629,0.000180542,0.000179761,1.6774e-05,1
8,6,-9.95139,-3.82123,9.20139,29.0144,24.2758,0.836681,-0.120456,2.02882,0.665798,1.25666,0.000180749,0.000179961,1.68619e-05,1
8,7,-9.95139,-3.82123,9.20139,29.0144,24.2687,0.836436,-0.120456,2.02882,0.665798,1.25629,0.000180542,0.000179761,1.6774e-05,1
