ele,gp,x,z,dx,p,q,eta,psi,Mb,Md,eta_over_Md,err,err_dev,err_vol,f
12,2,-9.95139,-1.75,9.20139,16.0411,13.2097,0.823493,-0.123949,2.05377,0.652561,1.26194,0.00185078,0.00184307,0.000168729,0
12,3,-9.95139,-1.75,9.20139,16.0407,13.1834,0.821871,-0.123949,2.05377,0.652561,1.25945,0.00173462,0.00172749,0.000157119,1
12,4,-9.95139,-1.75,9.20139,16.0411,13.2097,0.823493,-0.123949,2.05377,0.652561,1.26194,0.00185078,0.00184307,0.000168729,0
12,5,-9.95139,-1.75,9.20139,16.04,13.1657,0.820806,-0.123949,2.05377,0.65256,1.25782,0.00179238,0.00178516,0.000160662,1
12,6,-9.95139,-1.75,9.20139,16.0404,13.19,0.822297,-0.123949,2.05377,0.652561,1.26011,0.00155506,0.00155498,1.50576e-05,1
12,7,-9.95139,-1.75,9.20139,16.04,13.1657,0.820806,-0.123949,2.05377,0.65256,1.25782,0.00179238,0.00178517,0.000160662,1
12,8,-9.95139,-1.75,9.20139,16.0404,13.19,0.822297,-0.123949,2.05377,0.652561,1.26011,0.00155506,0.00155499,1.50574e-05,1
13,1,-9.95139,-1.25,9.20139,12.8425,10.6317,0.827853,-0.125044,2.06166,0.648464,1.27664,0.00215998,0.00215104,0.000196325,0
13,2,-9.95139,-1.25,9.20139,12.8428,10.6499,0.82925,-0.125044,2.06166,0.648464,1.27879,0.00207299,0.00206438,0.000188711,0
13,3,-9.95139,-1.25,9.20139,12.8425,10.6317,0.827853,-0.125044,2.06166,0.648464,1.27664,0.00215998,0.00215104,0.000196325,0
13,4,-9.95139,-1.25,9.20139,12.8428,10.6499,0.82925,-0.125044,2.06166,0.648464,1.27879,0.002073,0.00206439,0.000188711,0
13,5,-9.95139,-1.25,9.20139,12.8425,10.6332,0.82797,-0.125044,2.06166,0.648464,1.27682,0.00212378,0.00211507,0.000192077,0
13,6,-9.95139,-1.25,9.20139,12.8428,10.6516,0.829384,-0.125044,2.06166,0.648464,1.279,0.00203488,0.00202651,0.000184404,0
13,7,-9.95139,-1.25,9.20139,12.8425,10.6332,0.82797,-0.125044,2.06166,0.648464,1.27682,0.00212376,0.00211506,0.000192076,0
13,8,-9.95139,-1.25,9.20139,12.8428,10.6516,0.829384,-0.125044,2.06166,0.648464,1.279,0.00203487,0.0020265,0.000184403,0
14,1,-9.95139,-0.75,9.20139,9.67009,8.03659,0.831076,-0.126296,2.07071,0.643812,1.29087,0.00273984,0.00272852,0.000248798,0
14,2,-9.95139,-0.75,9.20139,9.67046,8.04845,0.832272,-0.126296,2.07071,0.643812,1.29272,0.00266561,0.00265454,0.000242672,0
14,3,-9.95139,-0.75,9.20139,9.67009,8.03659,0.831076,-0.126296,2.07071,0.643812,1.29087,0.00273986,0.00272854,0.000248799,0
14,4,-9.95139,-0.75,9.20139,9.67046,8.04845,0.832272,-0.126296,2.07071,0.643812,1.29272,0.00266561,0.00265454,0.000242671,0
14,5,-9.95139,-0.75,9.20139,9.6705,8.07057,0.834555,-0.126296,2.07071,0.643812,1.29627,0.00237781,0.00236791,0.000216804,0
14,6,-9.95139,-0.75,9.20139,9.67088,8.08265,0.835772,-0.126296,2.07071,0.643813,1.29816,0.00230188,0.00229225,0.000210354,0
14,7,-9.95139,-0.75,9.20139,9.6705,8.07057,0.834556,-0.126296,2.07071,0.643812,1.29627,0.00237777,0.00236786,0.000216799,0
