# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
0.19106875,0.095534375,2147.42882,-2147.77337,0.15625,1,4921.61255
0.191225,0.0956125,2148.02788,-2148.15506,0.15625,1,4934.1489
0.19138125,0.095690625,2150.37721,-2150.7387,0.15625,1,4945.57724
0.1915375,0.09576875,2144.64426,-2144.45912,0.15625,1,4960.45302
0.19169375,0.095846875,2156.51304,-2156.78601,0.15625,1,4967.39505
0.191771875,0.0958859375,2154.55668,-2155.16318,0.078125,1,4991.09713
0.19185,0.095925,2155.86116,-2156.64262,0.078125,1,4996.05262
0.191928125,0.0959640625,2150.15925,-2150.13516,0.078125,0,5005.28957
0.19200625,0.096003125,2152.52826,-2152.54897,0.078125,0,5009.18108
0.192084375,0.0960421875,2154.40584,-2154.37119,0.078125,0,5010.62356
0.1921625,0.09608125,2156.32174,-2156.29311,0.15625,0,5011.6246
0.19231875,0.096159375,2159.93666,-2159.93747,0.15625,0,5013.96202
0.192475,0.0962375,2163.58913,-2163.59544,0.15625,0,5016.34472
0.19263125,0.096315625,2167.20911,-2167.21124,0.15625,0,5018.48748
0.1927875,0.09639375,2170.82023,-2170.82538,0.15625,0,5020.56743
0.19294375,0.096471875,2174.4296,-2174.43475,0.15625,0,5022.68006
0.1931,0.09655,2177.99994,-2178.0025,0.3125,0,5025.16419
0.1934125,0.09670625,2185.11124,-2185.2494,0.3125,1,5038.26172
0.193725,0.0968625,2191.95487,-2191.94059,0.3125,1,5051.69299
0.1940375,0.09701875,2199.13079,-2199.25318,0.3125,1,5065.73281
0.19435,0.097175,2206.09273,-2206.29541,0.3125,1,5079.23859
0.1946625,0.09733125,2212.84377,-2212.82043,0.3125,0,5085.60812
0.194975,0.0974875,2218.83777,-2218.89047,0.625,1,5093.38191
0.1956,0.0978,2232.74756,-2232.90241,0.625,1,5102.64773
0.196225,0.0981125,2246.4287,-2246.66462,0.625,1,5119.50304
0.19685,0.098425,2259.13743,-2259.35767,0.625,1,5133.44964
0.197475,0.0987375,2272.72625,-2273.01514,0.625,1,5143.29915
0.1981,0.09905,2285.24161,-2285.51466,0.625,1,5155.62188
0.198725,0.0993625,2297.66524,-2297.87383,1.25,1,5164.23464
0.199975,0.0999875,2323.61389,-2323.97204,1.25,1,5184.35719
0.201225,0.1006125,2348.1174,-2348.41577,1.25,1,5201.55999
0.202475,0.1012375,2372.03146,-2372.09219,1.25,1,5223.58163
0.203725,0.1018625,2395.94454,-2396.13858,1.25,1,5245.66872
0.204975,0.1024875,2419.58231,-2419.74521,1.25,1,5274.44773
0.206225,0.1031125,2442.42434,-2442.64955,2.5,1,5299.76914
0.208725,0.1043625,2488.16066,-2488.31002,2.5,1,5350.09561
0.209975,0.1049875,2510.65004,-2510.83884,1.25,1,5381.55021
0.211225,0.1056125,2532.73192,-2533.00486,1.25,1,5412.42375
0.212475,0.1062375,2554.50489,-2554.66098,1.25,1,5441.91042
0.213725,0.1068625,2576.01644,-2576.19083,1.25,1,5471.37875
0.214975,0.1074875,2597.78361,-2597.93488,1.25,1,5499.27563
0.216225,0.1081125,2619.33125,-2619.62272,2.5,1,5532.5073
0.217475,0.1087375,2640.18037,-2640.43066,1.25,1,5581.00145
0.218725,0.1093625,2661.35581,-2661.58417,1.25,1,5615.36658
0.219975,0.1099875,2681.54284,-2681.74378,1.25,1,5649.58452
0.2206,0.1103,2690.91483,-2691.13608,0.625,1,5685.55926
0.221225,0.1106125,2701.54773,-2701.83619,0.625,1,5701.98941
0.22185,0.110925,2711.71817,-2711.9809,0.625,1,5713.50992
0.2221625,0.11108125,2716.66581,-2716.86868,0.3125,1,5744.95338
0.222475,0.1112375,2721.63164,-2721.79715,0.3125,1,5753.07162
0.2227875,0.11139375,2726.28937,-2726.44951,0.3125,1,5761.71013
0.2231,0.11155,2731.54899,-2731.7152,0.3125,1,5770.49141
0.2234125,0.11170625,2736.29927,-2736.37597,0.3125,1,5777.65996
0.22356875,0.111784375,2752.73074,-2752.66646,0.15625,1,5806.05433
0.223725,0.1118625,2743.08369,-2743.4426,0.15625,1,5814.79611
0.22388125,0.111940625,2755.89476,-2756.05412,0.15625,1,5824.26361
0.2240375,0.11201875,2749.0354,-2749.26707,0.15625,1,5836.13414
0.22419375,0.112096875,2753.2234,-2753.23919,0.15625,0,5841.22364
0.22435,0.112175,2756.49473,-2756.50272,0.3125,0,5843.57525
0.2246625,0.11233125,2762.40079,-2762.53476,0.3125,1,5858.26881
0.224975,0.1124875,2769.29505,-2769.4278,0.3125,1,5866.37602
0.2252875,0.11264375,2776.49964,-2776.60617,0.3125,1,5874.07958
0.2256,0.1128,2782.5266,-2782.68586,0.3125,1,5880.68012
0.2259125,0.11295625,2789.5018,-2789.78294,0.3125,1,5894.45746
0.226225,0.1131125,2795.67592,-2796.00584,0.625,1,5900.58804
0.22685,0.113425,2808.45673,-2808.68787,0.625,1,5910.1106
0.227475,0.1137375,2820.33066,-2820.54192,0.625,1,5923.57999
0.2281,0.11405,2832.99893,-2833.16998,0.625,1,5933.55902
0.228725,0.1143625,2845.34906,-2845.5572,0.625,1,5941.57271
0.22935,0.114675,2857.64685,-2857.95374,0.625,1,5957.9261
0.229975,0.1149875,2870.38129,-2870.62356,1.25,1,5976.32863
0.231225,0.1156125,2893.7311,-2893.96532,1.25,1,5987.28961
0.232475,0.1162375,2917.18531,-2917.32296,1.25,1,5999.51252
0.233725,0.1168625,2940.30245,-2940.48288,1.25,1,6012.73173
0.234975,0.1174875,2962.4805,-2962.63533,1.25,1,6027.49458
0.236225,0.1181125,2985.33844,-2985.5371,1.25,1,6043.58325
0.237475,0.1187375,3007.56605,-3007.74283,2.5,1,6068.0073
0.238725,0.1193625,3028.44342,-3028.54432,1.25,1,6111.40571
0.239975,0.1199875,3051.10829,-3051.35167,1.25,1,6130.22592
0.241225,0.1206125,3071.66007,-3071.77003,1.25,1,6143.82374
0.242475,0.1212375,3092.98725,-3093.13718,1.25,1,6169.51855
