# ADR90 WP-A2 tau=0 band, build 9e73060a90e81a35ebd842bcd10a315a980ffac4 (expected 9e73060a90e81a35ebd842bcd10a315a980ffac4), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf
0.09716,0.04858,1125.21343,-1125.51749,0.64,0,622.486589,0.000241844039,700,0,0,0,1580,894
0.0978,0.0489,1131.86435,-1132.18729,0.64,0,626.616531,0.000199047472,700,0,0,0,1580,892
0.09844,0.04922,1143.50219,-1144.11733,0.64,1,633.138472,0.000865420134,724,0,0,0,7940,2686
0.09908,0.04954,1151.67706,-1152.73745,1.28,0,635.905437,0.00109365703,724,0,4,0,1568,843
0.09972,0.04986,1158.06508,-1158.88791,0.64,0,640.618312,0.000773508083,736,0,0,0,11072,3608
0.10036,0.05018,1163.37593,-1164.10386,0.64,0,644.687167,0.000466996934,736,0,0,0,1568,915
0.101,0.0505,1169.04006,-1169.62671,0.64,0,649.095931,0.000428208996,736,0,0,0,1578,988
0.10164,0.05082,1175.48951,-1175.93999,0.64,0,653.383878,0.000454892394,736,0,0,0,1592,999
0.10228,0.05114,1182.40386,-1182.76844,0.64,0,657.722522,0.000403668809,736,0,0,0,1588,968
0.10292,0.05146,1189.35674,-1189.71836,1.28,0,662.314616,0.000338082863,736,0,0,0,1584,947
0.10356,0.05178,1196.1164,-1196.48834,0.64,0,668.573345,0.000272574661,748,0,0,0,11087,3702
0.1042,0.0521,1202.73116,-1203.11213,0.64,0,673.60923,0.000228248735,748,0,0,0,1580,912
0.10484,0.05242,1210.89452,-1211.32613,0.64,1,681.900072,0.000233595192,756,0,0,0,7940,2718
0.10548,0.05274,1217.79247,-1218.38329,0.64,0,685.898635,0.000366997571,756,0,0,0,1576,890
0.10612,0.05306,1224.09095,-1224.58579,0.64,0,690.294689,0.000262258573,756,0,0,0,1572,896
0.10676,0.05338,1230.12131,-1230.52359,1.28,0,695.143626,0.000196019699,756,0,0,0,1576,896
0.1074,0.0537,1236.47735,-1236.72243,0.64,0,701.626208,0.000198842067,768,0,0,0,11086,3676
0.10804,0.05402,1248.61857,-1249.26142,0.64,1,708.676876,0.000907724655,784,0,0,0,7952,2728
0.10868,0.05434,1257.14329,-1258.2075,0.64,0,711.290847,0.00113581413,784,0,12,0,1568,844
0.10932,0.05466,1263.57651,-1264.45196,0.64,0,714.402191,0.000819341705,784,0,0,0,1568,872
0.10996,0.05498,1268.79676,-1269.49211,0.64,0,718.069011,0.00049866756,784,0,0,0,1568,939
0.1106,0.0553,1274.29199,-1274.93143,1.28,0,721.757518,0.000442551815,784,0,0,0,1580,1004
0.11124,0.05562,1280.71079,-1281.2086,0.64,0,726.117962,0.000480841011,796,0,0,0,11108,4152
0.11188,0.05594,1287.53619,-1288.02651,0.64,0,729.384408,0.000434311403,796,0,0,0,1584,993
0.11252,0.05626,1294.47069,-1294.90888,0.64,0,732.799838,0.000361815383,796,0,0,0,1584,973
0.11316,0.05658,1301.26739,-1301.73593,0.64,0,736.66287,0.000291937519,796,0,0,0,1584,955
0.1138,0.0569,1307.87745,-1308.32601,0.64,0,740.511954,0.000245103817,796,0,0,0,1580,926
0.11444,0.05722,1314.42033,-1314.8558,1.28,0,744.824048,0.000217637162,796,0,0,0,1580,923
0.11508,0.05754,1323.89099,-1324.46856,0.64,1,752.726451,0.000388095644,816,0,0,0,17447,5544
0.11572,0.05786,1331.23162,-1332.07447,0.64,0,756.06191,0.000557583428,816,0,4,0,1575,892
0.11636,0.05818,1337.40114,-1338.10566,0.64,0,759.578674,0.000398193312,816,0,0,0,1572,892
0.117,0.0585,1342.95806,-1343.56492,0.64,0,763.07284,0.000260456123,816,0,0,0,1576,924
0.11764,0.05882,1348.82432,-1349.27329,0.64,0,767.180694,0.000263189724,816,0,0,0,1584,953
0.11828,0.05914,1355.3229,-1355.67111,1.28,0,771.662982,0.000258210387,816,0,0,0,1584,943
0.11892,0.05946,1364.70949,-1365.1197,0.64,1,779.573791,0.000346428192,836,0,0,0,17458,5592
0.11956,0.05978,1372.14247,-1372.78903,0.64,0,782.585098,0.000511357168,836,0,4,0,1580,904
0.1202,0.0601,1378.42257,-1379.02726,0.64,0,786.105834,0.000373906813,836,0,0,0,1570,916
0.12084,0.06042,1384.21143,-1384.69235,0.64,0,789.768924,0.000231381198,836,0,0,0,1576,933
0.12148,0.06074,1390.14074,-1390.55608,0.64,0,793.949741,0.000257163944,836,0,0,0,1584,953
0.12212,0.06106,1396.57297,-1396.95292,1.28,0,798.354553,0.000284099538,836,0,0,0,1584,954
0.1234,0.0617,1413.14,-1413.0014,1.28,1,810.253479,0.000341428613,852,0,0,0,7916,2880
0.12468,0.06234,1427.26537,-1427.62457,1.28,1,822.557139,0.000445537637,868,0,0,0,7952,2844
0.12596,0.06298,1440.54651,-1440.8339,1.28,1,835.216066,0.000327522948,876,0,0,0,7928,2856
0.12724,0.06362,1453.14207,-1453.40396,1.28,1,847.73412,0.000253155004,892,0,0,0,7928,2868
0.12852,0.06426,1465.85618,-1466.14476,1.28,1,859.87577,0.000175206104,908,0,0,0,7940,2883
0.1298,0.0649,1478.75499,-1479.06446,2.56,1,872.19741,0.000192955368,916,0,0,0,7940,2904
0.13108,0.06554,1493.06529,-1493.13727,1.28,1,885.543539,0.00015100773,948,0,0,0,17456,5823
0.13236,0.06618,1506.44059,-1506.6762,1.28,1,898.343487,0.000227016153,956,0,0,0,7940,2880
0.13364,0.06682,1521.17819,-1521.12181,1.28,1,909.692986,0.000302558459,964,0,0,0,7940,2880
0.13492,0.06746,1535.27218,-1535.55304,1.28,1,921.55776,0.000441198751,972,0,0,0,7940,2868
0.1362,0.0681,1549.63638,-1550.02741,1.28,1,935.025669,0.000546903274,980,0,0,0,7940,2886
0.13748,0.06874,1562.68927,-1563.10718,2.56,1,947.558214,0.000514955305,988,0,0,0,7940,2916
0.13876,0.06938,1575.46719,-1575.798,1.28,1,961.037761,0.00034086751,1020,0,0,0,17468,6027
0.14004,0.07002,1588.30754,-1588.62963,1.28,1,973.284572,0.000314824503,1028,0,0,0,7940,3066
0.14132,0.07066,1601.57987,-1601.84403,1.28,1,985.912476,0.00033368002,1036,0,0,0,7940,3075
0.1426,0.0713,1614.79945,-1615.06433,1.28,1,998.308069,0.000449759678,1044,0,0,0,7940,3093
0.14388,0.07194,1628.17243,-1628.38677,1.28,1,1011.6442,0.000398048801,1052,0,0,0,7940,3021
0.14516,0.07258,1641.88572,-1642.16643,2.56,1,1024.24595,0.000237868487,1060,0,0,0,7940,2976
0.14644,0.07322,1655.30664,-1655.55936,1.28,1,1037.56224,0.000322529614,1092,0,0,0,17468,5988
