# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
0.0706,0.0353,1630.76109,-1630.8469,0.3125,1,1632.01912
0.0709125,0.03545625,1636.21831,-1636.26968,0.3125,1,1636.37152
0.071225,0.0356125,1648.15004,-1648.56226,0.3125,1,1641.86539
0.0715375,0.03576875,1654.15506,-1654.45798,0.3125,1,1653.94487
0.07185,0.035925,1661.01921,-1661.28112,0.625,1,1662.81442
0.072475,0.0362375,1676.52673,-1676.74484,0.625,1,1678.10524
0.0731,0.03655,1694.24319,-1694.75875,0.625,1,1696.65932
0.073725,0.0368625,1711.58645,-1712.38088,0.625,1,1714.56465
0.07435,0.037175,1727.89008,-1728.21848,0.625,1,1726.01344
0.074975,0.0374875,1746.18342,-1746.94032,0.625,1,1734.45031
0.0752875,0.03764375,1758.49274,-1758.65223,0.3125,1,1771.62153
0.0756,0.0378,1768.43897,-1768.37915,0.3125,1,1781.56885
0.0759125,0.03795625,1777.73416,-1777.72636,0.3125,1,1799.64674
0.076225,0.0381125,1779.13929,-1779.38303,0.3125,1,1809.80113
0.0765375,0.03826875,1791.77722,-1792.59801,0.3125,1,1823.55868
0.07685,0.038425,1802.64072,-1802.26702,0.625,1,1844.82359
0.0771625,0.03858125,1804.33656,-1804.6172,0.3125,1,1896.49763
0.077475,0.0387375,1818.29859,-1818.49605,0.3125,1,1906.27327
0.0777875,0.03889375,1823.37955,-1823.60428,0.3125,1,1929.87121
0.0781,0.03905,1836.20728,-1836.24005,0.3125,1,1946.0422
0.0784125,0.03920625,1840.7283,-1841.22966,0.3125,1,1957.98027
0.078725,0.0393625,1848.37988,-1848.89744,0.625,1,1979.55556
0.0790375,0.03951875,1861.65354,-1861.58067,0.3125,1,1998.17204
0.07935,0.039675,1872.05548,-1871.46134,0.3125,1,2007.58668
0.07950625,0.039753125,1877.87503,-1879.18963,0.15625,1,2023.31707
0.0796625,0.03983125,1882.45902,-1883.90856,0.15625,1,2031.95213
0.07981875,0.039909375,1887.66732,-1889.31687,0.15625,1,2044.97093
0.079975,0.0399875,1890.21038,-1891.43786,0.15625,1,2057.32022
0.08013125,0.040065625,1894.68536,-1895.85046,0.15625,1,2060.83844
0.0802875,0.04014375,1899.36825,-1900.49242,0.3125,1,2068.05313
0.0806,0.0403,1899.84221,-1900.07357,0.3125,1,2083.85606
0.0809125,0.04045625,1914.61533,-1915.3167,0.3125,1,2092.1928
0.08106875,0.040534375,1920.65465,-1921.35571,0.15625,1,2108.35379
0.081225,0.0406125,1918.49489,-1918.5896,0.15625,1,2115.97597
0.08138125,0.040690625,1932.59445,-1932.43168,0.15625,1,2123.5996
0.0815375,0.04076875,1929.42938,-1929.55003,0.15625,1,2130.98911
0.08169375,0.040846875,1941.91262,-1942.34387,0.15625,1,2137.45112
0.08185,0.040925,1939.71207,-1939.7219,0.3125,1,2144.47894
0.0821625,0.04108125,1946.09003,-1946.17101,0.3125,1,2157.87543
0.082475,0.0412375,1957.82599,-1958.05126,0.3125,1,2163.4624
0.0827875,0.04139375,1966.93233,-1967.33968,0.3125,1,2172.82624
0.0831,0.04155,1976.52683,-1976.38535,0.3125,1,2193.72394
0.08325625,0.041628125,1986.89324,-1985.96261,0.15625,1,2204.93595
0.083334375,0.0416671875,1983.89074,-1983.88276,0.078125,0,2213.85357
0.0834125,0.04170625,1987.36487,-1987.32067,0.078125,0,2228.12562
0.083490625,0.0417453125,1997.19982,-1995.22703,0.078125,1,2233.6082
0.08356875,0.041784375,2002.10192,-2001.03236,0.078125,1,2240.70402
0.083646875,0.0418234375,1997.4332,-1997.34675,0.078125,0,2246.48593
0.083725,0.0418625,2006.76997,-2005.53447,0.15625,1,2251.60108
0.08388125,0.041940625,2009.41513,-2009.44795,0.15625,1,2257.86073
0.0840375,0.04201875,2014.61687,-2014.61978,0.15625,0,2264.02859
0.08419375,0.042096875,2028.43838,-2027.86261,0.15625,1,2265.97705
0.08435,0.042175,2028.00749,-2027.94964,0.15625,0,2272.20861
0.08450625,0.042253125,2044.03085,-2043.79769,0.15625,1,2278.06774
0.0846625,0.04233125,2041.88227,-2041.94831,0.3125,1,2294.89163
0.084975,0.0424875,2056.43399,-2056.54638,0.3125,1,2298.42103
0.0852875,0.04264375,2068.77133,-2068.80104,0.3125,1,2309.24694
0.08544375,0.042721875,2077.44199,-2078.22224,0.15625,1,2321.38656
0.085521875,0.0427609375,2084.36105,-2083.2967,0.078125,1,2339.21037
0.0856,0.0428,2088.1928,-2086.90672,0.078125,1,2346.06886
0.085678125,0.0428390625,2084.62637,-2084.59131,0.078125,0,2351.6239
0.08575625,0.042878125,2094.27267,-2092.93833,0.078125,1,2356.53044
0.085834375,0.0429171875,2091.99436,-2091.95615,0.078125,0,2362.08097
0.0859125,0.04295625,2101.55555,-2100.34843,0.15625,1,2367.46879
0.08606875,0.043034375,2104.22649,-2104.3599,0.15625,1,2378.71005
0.086225,0.0431125,2109.73174,-2109.74019,0.15625,0,2390.26838
0.08638125,0.043190625,2119.99547,-2120.20569,0.15625,1,2399.11899
0.0865375,0.04326875,2130.20472,-2129.85817,0.15625,1,2408.76857
